#Energy,TDOS-UP,TDOS-DOWN
-5.9357,394.8,-389.5
-5.9127,1.103,-0.3006
-5.8887,1.286,-0.3953
-5.8657,1.381,-0.5039
-5.8427,1.369,-0.5704
-5.8187,1.35,-0.5644
-5.7957,1.416,-0.5331
-5.7727,1.493,-0.5477
-5.7487,1.458,-0.6136
-5.7257,1.341,-0.6867
-5.7027,1.272,-0.7526
-5.6787,1.274,-0.8436
-5.6557,1.248,-0.973
-5.6327,1.166,-1.089
-5.6087,1.084,-1.119
-5.5857,1.008,-1.073
-5.5627,0.8902,-1.065
-5.5387,0.736,-1.151
-5.5157,0.622,-1.244
-5.4927,0.5951,-1.246
-5.4687,0.6116,-1.162
-5.4457,0.5971,-1.07
-5.4227,0.5308,-1.044
-5.3987,0.4636,-1.083
-5.3757,0.4437,-1.102
-5.3527,0.4468,-1.048
-5.3287,0.4291,-0.9518
-5.3057,0.3922,-0.8603
-5.2827,0.3558,-0.7899
-5.2587,0.35,-0.7428
-5.2357,0.4037,-0.6952
-5.2127,0.4745,-0.624
-5.1887,0.4975,-0.5571
-5.1657,0.5017,-0.5223
-5.1427,0.5373,-0.4968
-5.1187,0.5664,-0.458
-5.0957,0.557,-0.4131
-5.0727,0.559,-0.3755
-5.0487,0.6128,-0.3579
-5.0257,0.6851,-0.3661
-5.0027,0.7203,-0.384
-4.9787,0.7042,-0.3932
-4.9557,0.6542,-0.397
-4.9327,0.593,-0.404
-4.9087,0.5671,-0.4119
-4.8857,0.6256,-0.4234
-4.8627,0.7427,-0.4518
-4.8387,0.8304,-0.49
-4.8157,0.8427,-0.5003
-4.7927,0.8055,-0.4609
-4.7687,0.7608,-0.4035
-4.7457,0.7307,-0.392
-4.7227,0.7291,-0.4634
-4.6987,0.7741,-0.5779
-4.6757,0.8643,-0.6551
-4.6527,0.9508,-0.665
-4.6287,0.9626,-0.6313
-4.6057,0.8876,-0.5681
-4.5827,0.7997,-0.4847
-4.5587,0.772,-0.4188
-4.5357,0.8106,-0.4086
-4.5127,0.8831,-0.4486
-4.4887,0.9634,-0.5113
-4.4657,1.046,-0.5775
-4.4427,1.117,-0.6222
-4.4187,1.132,-0.631
-4.3957,1.102,-0.6266
-4.3727,1.141,-0.6336
-4.3487,1.343,-0.6465
-4.3257,1.647,-0.6486
-4.3027,1.895,-0.6286
-4.2787,1.981,-0.5833
-4.2557,1.925,-0.5335
-4.2327,1.857,-0.525
-4.2087,1.891,-0.5793
-4.1857,2.013,-0.6502
-4.1627,2.097,-0.6702
-4.1387,2.058,-0.6351
-4.1157,1.953,-0.5945
-4.0927,1.9,-0.5686
-4.0687,1.936,-0.5379
-4.0457,1.996,-0.51
-4.0227,2.035,-0.5417
-3.9987,2.103,-0.657
-3.9757,2.238,-0.7903
-3.9527,2.382,-0.8532
-3.9287,2.429,-0.821
-3.9057,2.326,-0.734
-3.8827,2.122,-0.6381
-3.8587,1.9,-0.5512
-3.8357,1.722,-0.4981
-3.8127,1.647,-0.5229
-3.7887,1.677,-0.6212
-3.7657,1.729,-0.7274
-3.7427,1.731,-0.7891
-3.7187,1.674,-0.8018
-3.6957,1.563,-0.7838
-3.6727,1.407,-0.7591
-3.6487,1.251,-0.7546
-3.6257,1.145,-0.7878
-3.6027,1.088,-0.8519
-3.5787,1.063,-0.9366
-3.5557,1.089,-1.059
-3.5327,1.202,-1.239
-3.5087,1.402,-1.467
-3.4857,1.675,-1.711
-3.4627,2.051,-1.926
-3.4387,2.569,-2.097
-3.4157,3.134,-2.247
-3.3927,3.559,-2.409
-3.3687,3.758,-2.611
-3.3457,3.725,-2.877
-3.3227,3.447,-3.17
-3.2987,3.008,-3.409
-3.2757,2.592,-3.532
-3.2527,2.284,-3.513
-3.2287,2.028,-3.318
-3.2057,1.812,-2.941
-3.1827,1.736,-2.492
-3.1587,1.857,-2.14
-3.1357,2.088,-1.89
-3.1127,2.402,-1.635
-3.0887,3.004,-1.403
-3.0657,4.079,-1.291
-3.0427,5.425,-1.249
-3.0187,6.549,-1.15
-2.9957,7.034,-0.9819
-2.9727,6.86,-0.8322
-2.9487,6.364,-0.739
-2.9257,5.785,-0.6451
-2.9027,5.14,-0.5178
-2.8787,4.518,-0.3892
-2.8557,4.088,-0.289
-2.8327,3.9,-0.2347
-2.8087,3.914,-0.2396
-2.7857,4.05,-0.285
-2.7627,4.173,-0.3322
-2.7387,4.207,-0.369
-2.7157,4.223,-0.4093
-2.6927,4.285,-0.4677
-2.6687,4.314,-0.5713
-2.6457,4.183,-0.752
-2.6227,3.913,-1.005
-2.5987,3.695,-1.312
-2.5757,3.654,-1.686
-2.5527,3.727,-2.116
-2.5287,3.806,-2.503
-2.5057,3.83,-2.74
-2.4827,3.757,-2.796
-2.4587,3.607,-2.697
