#Energy,TDOS-UP,TDOS-DOWN
-5.68892,393.4,-389.2
-5.66592,0.777,-0.259
-5.64192,0.9421,-0.2867
-5.61892,1.155,-0.3592
-5.59592,1.33,-0.4567
-5.57192,1.382,-0.5313
-5.54892,1.329,-0.5426
-5.52592,1.299,-0.5166
-5.50192,1.369,-0.5169
-5.47892,1.455,-0.5656
-5.45592,1.441,-0.6336
-5.43192,1.349,-0.6954
-5.40892,1.279,-0.7658
-5.38592,1.241,-0.8747
-5.36192,1.181,-1.003
-5.33892,1.109,-1.075
-5.31592,1.057,-1.053
-5.29192,0.9987,-1.003
-5.26892,0.8806,-1.018
-5.24592,0.7084,-1.107
-5.22192,0.5729,-1.205
-5.19892,0.5528,-1.24
-5.17592,0.6136,-1.172
-5.15192,0.6416,-1.033
-5.12892,0.5702,-0.9387
-5.10592,0.4536,-0.9656
-5.08192,0.3914,-1.051
-5.05892,0.4062,-1.063
-5.03592,0.4436,-0.9579
-5.01192,0.4558,-0.8122
-4.98892,0.4386,-0.7221
-4.96592,0.4159,-0.7092
-4.94192,0.4144,-0.7197
-4.91892,0.4546,-0.6811
-4.89592,0.5467,-0.5779
-4.87192,0.6555,-0.4726
-4.84892,0.7021,-0.4273
-4.82592,0.6542,-0.4303
-4.80192,0.5823,-0.4311
-4.77892,0.5786,-0.41
-4.75592,0.6492,-0.3875
-4.73192,0.7227,-0.386
-4.70892,0.7453,-0.4056
-4.68592,0.7165,-0.4288
-4.66192,0.6684,-0.4412
-4.63892,0.6562,-0.4427
-4.61592,0.7143,-0.4369
-4.59192,0.8113,-0.4363
-4.56892,0.886,-0.4655
-4.54592,0.9042,-0.5107
-4.52192,0.8607,-0.5156
-4.49892,0.779,-0.4776
-4.47592,0.7269,-0.4602
-4.45192,0.7668,-0.4926
-4.42892,0.882,-0.546
-4.40592,0.9975,-0.6008
-4.38192,1.046,-0.6514
-4.35892,1.01,-0.6618
-4.33592,0.9304,-0.6074
-4.31192,0.8762,-0.5244
-4.28892,0.8809,-0.4557
-4.26592,0.9241,-0.4168
-4.24192,0.9829,-0.4286
-4.21892,1.07,-0.5113
-4.19592,1.187,-0.6259
-4.17192,1.295,-0.687
-4.14892,1.4,-0.6681
-4.12592,1.572,-0.6292
-4.10192,1.817,-0.6263
-4.07892,2.019,-0.6527
-4.05592,2.06,-0.6691
-4.03192,1.953,-0.6492
-4.00892,1.837,-0.5968
-3.98592,1.847,-0.5479
-3.96192,1.985,-0.5477
-3.93892,2.11,-0.602
-3.91592,2.09,-0.6654
-3.89192,1.948,-0.6808
-3.86892,1.837,-0.6387
-3.84592,1.859,-0.5901
-3.82192,1.948,-0.5751
-3.79892,1.997,-0.5786
-3.77592,2.019,-0.5843
-3.75192,2.086,-0.6217
-3.72892,2.206,-0.72
-3.70592,2.315,-0.8344
-3.68192,2.356,-0.8709
-3.65892,2.301,-0.8023
-3.63592,2.145,-0.6949
-3.61192,1.947,-0.6017
-3.58892,1.826,-0.5304
-3.56592,1.834,-0.5128
-3.54192,1.881,-0.5805
-3.51892,1.862,-0.6955
-3.49592,1.76,-0.7918
-3.47192,1.596,-0.8419
-3.44892,1.394,-0.8521
-3.42592,1.224,-0.8472
-3.40192,1.179,-0.8533
-3.37892,1.304,-0.8755
-3.35592,1.575,-0.9099
-3.33192,1.945,-0.9822
-3.30892,2.381,-1.147
-3.28592,2.85,-1.426
-3.26192,3.295,-1.755
-3.23892,3.634,-2.017
-3.21592,3.781,-2.152
-3.19192,3.675,-2.216
-3.16892,3.359,-2.298
-3.14592,2.967,-2.438
-3.12192,2.615,-2.639
-3.09892,2.36,-2.878
-3.07592,2.202,-3.101
-3.05192,2.082,-3.268
-3.02892,1.979,-3.361
-3.00592,2.047,-3.356
-2.98192,2.54,-3.206
-2.95892,3.526,-2.9
-2.93592,4.79,-2.531
-2.91192,5.994,-2.211
-2.88892,6.809,-1.935
-2.86592,7.015,-1.647
-2.84192,6.701,-1.396
-2.81892,6.145,-1.261
-2.79592,5.501,-1.197
-2.77192,4.858,-1.095
-2.74892,4.37,-0.9245
-2.72592,4.084,-0.7471
-2.70192,3.968,-0.6246
-2.67892,4.071,-0.5523
-2.65592,4.341,-0.4929
-2.63192,4.511,-0.425
-2.60892,4.421,-0.3551
-2.58592,4.195,-0.3179
-2.56192,3.979,-0.3496
-2.53892,3.762,-0.461
-2.51592,3.531,-0.64
-2.49192,3.329,-0.8649
-2.46892,3.185,-1.118
-2.44592,3.102,-1.406
-2.42192,3.048,-1.747
-2.39892,3.006,-2.121
-2.37592,3.029,-2.475
-2.35192,3.125,-2.75
-2.32892,3.22,-2.896
-2.30592,3.343,-2.927
-2.28192,3.597,-2.954
-2.25892,3.925,-3.055
-2.23592,4.151,-3.152
-2.21192,4.239,-3.081
-2.18892,4.237,-2.774
-2.16592,4.057,-2.343
-2.14192,3.611,-1.992
-2.11892,3.036,-1.847
-2.09592,2.545,-1.834
-2.07192,2.181,-1.775
-2.04892,1.89,-1.625
-2.02592,1.661,-1.514
-2.00192,1.49,-1.528
