#Energy,TDOS-UP,TDOS-DOWN
-5.69812,393.5,-389.2
-5.67512,0.7841,-0.2586
-5.65112,0.9538,-0.2884
-5.62812,1.167,-0.3631
-5.60512,1.337,-0.4616
-5.58112,1.382,-0.5347
-5.55812,1.325,-0.5433
-5.53512,1.301,-0.5162
-5.51112,1.377,-0.5181
-5.48812,1.46,-0.5687
-5.46512,1.438,-0.6373
-5.44112,1.343,-0.6992
-5.41812,1.276,-0.7711
-5.39512,1.239,-0.8826
-5.37112,1.178,-1.011
-5.34812,1.107,-1.078
-5.32512,1.056,-1.051
-5.30112,0.9952,-1.002
-5.27812,0.8712,-1.023
-5.25512,0.6973,-1.117
-5.23112,0.5681,-1.212
-5.20812,0.5562,-1.239
-5.18512,0.6182,-1.164
-5.16112,0.6396,-1.026
-5.13812,0.5618,-0.9397
-5.11512,0.4468,-0.9744
-5.09112,0.3921,-1.058
-5.06812,0.4105,-1.06
-5.04512,0.4446,-0.9483
-5.02112,0.452,-0.8047
-4.99812,0.4331,-0.7202
-4.97512,0.4126,-0.7105
-4.95112,0.4157,-0.7193
-4.92812,0.4591,-0.6753
-4.90512,0.55,-0.5698
-4.88112,0.6542,-0.4687
-4.85812,0.6964,-0.4283
-4.83512,0.6474,-0.4313
-4.81112,0.5787,-0.4293
-4.78812,0.5801,-0.407
-4.76512,0.6533,-0.3858
-4.74112,0.7252,-0.3862
-4.71812,0.7444,-0.4063
-4.69512,0.7128,-0.4284
-4.67112,0.6634,-0.4394
-4.64812,0.6515,-0.4408
-4.62512,0.7116,-0.4359
-4.60112,0.8111,-0.4365
-4.57812,0.8863,-0.4674
-4.55512,0.9026,-0.5124
-4.53112,0.8575,-0.5142
-4.50812,0.7767,-0.4739
-4.48512,0.7259,-0.4576
-4.46112,0.7653,-0.4918
-4.43812,0.8794,-0.5469
-4.41512,0.9946,-0.6041
-4.39112,1.043,-0.6545
-4.36812,1.006,-0.6605
-4.34512,0.9259,-0.603
-4.32112,0.8718,-0.5206
-4.29812,0.8777,-0.4534
-4.27512,0.9227,-0.4157
-4.25112,0.9815,-0.4299
-4.22812,1.066,-0.5144
-4.20512,1.18,-0.6273
-4.18112,1.284,-0.6848
-4.15812,1.383,-0.6647
-4.13512,1.549,-0.6276
-4.11112,1.795,-0.6269
-4.08812,2.007,-0.6539
-4.06512,2.06,-0.6692
-4.04112,1.96,-0.6478
-4.01812,1.841,-0.5945
-3.99512,1.843,-0.5459
-3.97112,1.976,-0.5468
-3.94812,2.107,-0.6025
-3.92512,2.096,-0.6661
-3.90112,1.957,-0.6803
-3.87812,1.839,-0.6374
-3.85512,1.855,-0.5891
-3.83112,1.945,-0.5741
-3.80812,1.998,-0.5765
-3.78512,2.021,-0.5818
-3.76112,2.087,-0.6207
-3.73812,2.206,-0.7207
-3.71512,2.316,-0.8348
-3.69112,2.355,-0.87
-3.66812,2.3,-0.8009
-3.64512,2.147,-0.6939
-3.62112,1.948,-0.601
-3.59812,1.822,-0.5296
-3.57512,1.825,-0.5121
-3.55112,1.873,-0.58
-3.52812,1.86,-0.695
-3.50512,1.765,-0.7911
-3.48112,1.608,-0.8404
-3.45812,1.408,-0.8493
-3.43512,1.23,-0.8429
-3.41112,1.168,-0.8486
-3.38812,1.272,-0.8716
-3.36512,1.521,-0.9066
-3.34112,1.872,-0.9772
-3.31812,2.294,-1.138
-3.29512,2.763,-1.411
-3.27112,3.222,-1.737
