#Energy,TDOS-UP,TDOS-DOWN
-6.22341,398.4,-390.3
-6.20041,1.454,-0.5126
-6.17641,1.518,-0.5792
-6.15341,1.536,-0.6011
-6.13041,1.488,-0.5995
-6.10641,1.391,-0.6206
-6.08341,1.324,-0.6812
-6.06041,1.339,-0.7553
-6.03641,1.366,-0.8229
-6.01341,1.302,-0.9073
-5.99041,1.159,-1.036
-5.96641,1.038,-1.167
-5.94341,0.9699,-1.224
-5.92041,0.9025,-1.216
-5.89641,0.8117,-1.224
-5.87341,0.7062,-1.251
-5.85041,0.6016,-1.233
-5.82641,0.5379,-1.174
-5.80341,0.5338,-1.145
-5.78041,0.5477,-1.165
-5.75641,0.527,-1.18
-5.73341,0.4608,-1.133
-5.71041,0.3924,-1.041
-5.68641,0.3689,-0.978
-5.66341,0.3771,-0.954
-5.64041,0.3769,-0.889
-5.61641,0.369,-0.7434
-5.59341,0.3734,-0.599
-5.57041,0.391,-0.5475
-5.54641,0.4115,-0.5722
-5.52341,0.4288,-0.5975
-5.50041,0.4497,-0.5715
-5.47641,0.4821,-0.4863
-5.45341,0.5175,-0.3864
-5.43041,0.5378,-0.3326
-5.40641,0.5444,-0.3325
-5.38341,0.5741,-0.3489
-5.36041,0.6459,-0.3627
-5.33641,0.7018,-0.3718
-5.31341,0.6794,-0.3651
-5.29041,0.6113,-0.3569
-5.26641,0.5615,-0.3835
-5.24341,0.5438,-0.4319
-5.22041,0.5663,-0.4513
-5.19641,0.647,-0.4425
-5.17341,0.7493,-0.4369
-5.15041,0.7944,-0.4207
-5.12641,0.7555,-0.3835
-5.10341,0.6945,-0.375
-5.08041,0.6808,-0.4265
-5.05641,0.7117,-0.5025
-5.03341,0.7495,-0.5759
-5.01041,0.792,-0.6468
-4.98641,0.8559,-0.6752
-4.96341,0.9029,-0.6129
-4.94041,0.8717,-0.4988
-4.91641,0.7837,-0.425
-4.89341,0.7096,-0.4152
-4.87041,0.6809,-0.4245
-4.84641,0.7026,-0.439
-4.82341,0.7819,-0.485
-4.80041,0.9179,-0.5623
-4.77641,1.067,-0.6297
-4.75341,1.14,-0.6499
-4.73041,1.084,-0.6216
-4.70641,0.9529,-0.5788
-4.68341,0.8821,-0.5639
-4.66041,0.9745,-0.5901
-4.63641,1.208,-0.6223
-4.61341,1.481,-0.6125
-4.59041,1.712,-0.5642
-4.56641,1.857,-0.537
-4.54341,1.92,-0.5674
-4.52041,1.948,-0.6173
-4.49641,1.981,-0.6351
-4.47341,2.018,-0.6268
-4.45041,2.025,-0.6136
-4.42641,1.985,-0.5754
-4.40341,1.95,-0.4995
-4.38041,2.003,-0.4389
-4.35641,2.124,-0.4741
-4.33341,2.21,-0.613
-4.31041,2.253,-0.7633
-4.28641,2.33,-0.833
-4.26341,2.426,-0.8149
-4.24041,2.442,-0.7479
-4.21641,2.336,-0.6568
-4.19341,2.148,-0.5617
-4.17041,1.923,-0.4985
-4.14641,1.716,-0.5062
-4.12341,1.602,-0.5924
-4.10041,1.595,-0.7022
-4.07641,1.602,-0.7603
-4.05341,1.543,-0.7551
-4.03041,1.453,-0.7299
-4.00641,1.396,-0.7134
-3.98341,1.367,-0.7049
-3.96041,1.328,-0.7057
-3.93641,1.274,-0.7396
-3.91341,1.19,-0.827
-3.89041,1.062,-0.9449
-3.86641,0.9449,-1.06
-3.84341,0.8969,-1.177
-3.82041,0.8777,-1.306
-3.79641,0.8398,-1.462
-3.77341,0.8203,-1.691
-3.75041,0.8598,-1.997
-3.72641,0.9514,-2.292
-3.70341,1.117,-2.523
-3.68041,1.432,-2.771
-3.65641,1.923,-3.122
-3.63341,2.513,-3.502
-3.61041,3.075,-3.772
-3.58641,3.49,-3.867
-3.56341,3.713,-3.732
-3.54041,3.742,-3.32
-3.51641,3.513,-2.728
-3.49341,3.025,-2.199
-3.47041,2.513,-1.861
-3.44641,2.189,-1.612
-3.42341,2.01,-1.39
-3.40041,1.865,-1.279
-3.37641,1.78,-1.286
-3.35341,1.805,-1.27
-3.33041,1.866,-1.147
-3.30641,1.899,-0.9764
-3.28341,1.998,-0.8315
-3.26041,2.398,-0.7155
-3.23641,3.3,-0.6007
-3.21341,4.628,-0.4755
-3.19041,5.958,-0.3575
-3.16641,6.824,-0.2774
-3.14341,7.044,-0.2495
-3.12041,6.753,-0.2573
-3.09641,6.171,-0.264
-3.07341,5.445,-0.2511
-3.05041,4.761,-0.2312
-3.02641,4.295,-0.2163
-3.00341,4.027,-0.2108
-2.98041,3.85,-0.2352
-2.95641,3.747,-0.3178
-2.93341,3.78,-0.4511
-2.91041,3.987,-0.5778
-2.88641,4.353,-0.6541
-2.86341,4.821,-0.7158
-2.84041,5.205,-0.8384
-2.81641,5.245,-1.033
-2.79341,4.903,-1.253
-2.77041,4.442,-1.502
-2.74641,4.094,-1.816
-2.72341,3.848,-2.112
-2.70041,3.597,-2.21
-2.67641,3.332,-2.063
-2.65341,3.141,-1.845
-2.63041,3.085,-1.72
-2.60641,3.151,-1.689
-2.58341,3.261,-1.686
-2.56041,3.3,-1.696
-2.53641,3.22,-1.759
-2.51341,3.083,-1.915
-2.49041,2.975,-2.146
-2.46641,2.891,-2.376
-2.44341,2.734,-2.495
-2.42041,2.447,-2.395
-2.39641,2.111,-2.094
-2.37341,1.839,-1.766
-2.35041,1.655,-1.592
-2.32641,1.502,-1.585
-2.30341,1.325,-1.592
-2.28041,1.147,-1.503
-2.25641,1.034,-1.405
-2.23341,1.003,-1.428
-2.21041,1.071,-1.545
-2.18641,1.318,-1.648
-2.16341,1.807,-1.7
-2.14041,2.463,-1.733
-2.11641,3.103,-1.784
-2.09341,3.56,-1.88
-2.07041,3.816,-2.037
-2.04641,4.03,-2.246
-2.02341,4.281,-2.488
-2.00041,4.4,-2.829
-1.97641,4.288,-3.388
-1.95341,4.148,-4.126
-1.93041,4.159,-4.913
-1.90641,4.209,-5.682
-1.88341,4.08,-6.31
-1.86041,3.73,-6.536
-1.83641,3.326,-6.178
-1.81341,3.053,-5.295
-1.79041,2.921,-4.125
-1.76641,2.801,-2.999
-1.74341,2.618,-2.225
-1.72041,2.463,-1.908
-1.69641,2.489,-1.945
-1.67341,2.758,-2.214
-1.65041,3.199,-2.606
-1.62641,3.645,-2.992
-1.60341,3.894,-3.364
-1.58041,3.885,-3.852
-1.55641,3.8,-4.474
-1.53341,3.836,-5.026
-1.51041,3.979,-5.278
-1.48641,4.123,-5.151
-1.46341,4.211,-4.78
-1.44041,4.207,-4.434
-1.41641,4.084,-4.265
-1.39341,3.866,-4.257
-1.37041,3.614,-4.418
-1.34641,3.425,-4.741
-1.32341,3.385,-5.015
-1.30041,3.485,-5.066
-1.27641,3.605,-5.044
-1.25341,3.613,-5.128
