#Energy,TDOS-UP,TDOS-DOWN
-5.86054,394.3,-389.4
-5.83754,0.9794,-0.2734
-5.81354,1.185,-0.3473
-5.79054,1.345,-0.4543
-5.76754,1.385,-0.5449
-5.74354,1.336,-0.568
-5.72054,1.335,-0.5356
-5.69754,1.428,-0.5229
-5.67354,1.492,-0.5697
-5.65054,1.428,-0.6445
-5.62754,1.315,-0.7105
-5.60354,1.265,-0.7831
-5.58054,1.253,-0.897
-5.55754,1.2,-1.031
-5.53354,1.125,-1.106
-5.51054,1.064,-1.08
-5.48754,0.982,-1.031
-5.46354,0.8377,-1.068
-5.44054,0.6733,-1.177
-5.41754,0.5807,-1.25
-5.39354,0.5892,-1.227
-5.37054,0.626,-1.129
-5.34754,0.6018,-1.031
-5.32354,0.5118,-1.012
-5.30054,0.4371,-1.063
-5.27754,0.4284,-1.089
-5.25354,0.4416,-1.028
-5.23054,0.4287,-0.915
-5.20754,0.3965,-0.8091
-5.18354,0.3681,-0.7459
-5.16054,0.3748,-0.7246
-5.13754,0.4287,-0.6951
-5.11354,0.4844,-0.6213
-5.09054,0.5154,-0.5396
-5.06754,0.5554,-0.4907
-5.04354,0.598,-0.4636
-5.02054,0.5923,-0.4374
-4.99754,0.5594,-0.4073
-4.97354,0.5749,-0.379
-4.95054,0.6497,-0.3673
-4.92754,0.7177,-0.378
-4.90354,0.7294,-0.3957
-4.88054,0.693,-0.4046
-4.85754,0.6333,-0.4094
-4.83354,0.5859,-0.418
-4.81054,0.6093,-0.4232
-4.78754,0.7164,-0.431
-4.76354,0.8294,-0.4667
-4.74054,0.8702,-0.509
-4.71754,0.8427,-0.5005
-4.69354,0.7902,-0.4455
-4.67054,0.7413,-0.4089
-4.64754,0.7229,-0.4356
-4.62354,0.7635,-0.5207
-4.60054,0.8604,-0.6171
-4.57754,0.9608,-0.6687
-4.55354,0.9911,-0.6568
-4.53054,0.9302,-0.6013
-4.50754,0.841,-0.5276
-4.48354,0.7998,-0.4545
-4.46054,0.8277,-0.4095
-4.43754,0.896,-0.4202
-4.41354,0.9675,-0.4841
-4.39054,1.04,-0.5682
-4.36754,1.118,-0.6291
-4.34354,1.164,-0.6411
-4.32054,1.17,-0.6258
-4.29754,1.239,-0.6255
-4.27354,1.457,-0.6461
-4.25054,1.754,-0.661
-4.22754,1.967,-0.6496
-4.20354,2.003,-0.6069
-4.18054,1.911,-0.5498
-4.15754,1.841,-0.5218
-4.13354,1.897,-0.5573
-4.11054,2.033,-0.6321
-4.08754,2.111,-0.6769
-4.06354,2.055,-0.6561
-4.04054,1.929,-0.6066
-4.01754,1.864,-0.5743
-3.99354,1.908,-0.5553
-3.97054,1.985,-0.5348
-3.94754,2.034,-0.5448
-3.92354,2.097,-0.6285
-3.90054,2.222,-0.7596
-3.87754,2.356,-0.8507
-3.85354,2.399,-0.8435
-3.83054,2.31,-0.7607
-3.80754,2.133,-0.6618
-3.78354,1.928,-0.5731
-3.76054,1.759,-0.5083
-3.73754,1.695,-0.5113
-3.71354,1.735,-0.5971
-3.69054,1.785,-0.7096
-3.66754,1.767,-0.7883
-3.64354,1.683,-0.8165
-3.62054,1.552,-0.8056
-3.59754,1.381,-0.7821
-3.57354,1.214,-0.7786
-3.55054,1.112,-0.8099
-3.52754,1.098,-0.8634
-3.50354,1.157,-0.9359
-3.48054,1.286,-1.061
-3.45754,1.504,-1.262
-3.43354,1.822,-1.522
-3.41054,2.242,-1.784
-3.38754,2.751,-1.989
-3.36354,3.253,-2.126
-3.34054,3.608,-2.246
-3.31754,3.752,-2.393
-3.29354,3.661,-2.587
-3.27054,3.34,-2.84
-3.24754,2.92,-3.118
-3.22354,2.568,-3.342
-3.20054,2.302,-3.459
-3.17754,2.053,-3.459
-3.15354,1.836,-3.312
-3.13054,1.754,-2.98
-3.10754,1.886,-2.551
-3.08354,2.222,-2.202
-3.06054,2.774,-1.955
-3.03754,3.671,-1.69
-3.01354,4.925,-1.422
-2.99054,6.189,-1.271
-2.96754,6.955,-1.222
-2.94354,6.998,-1.144
-2.92054,6.555,-0.9923
-2.89754,5.974,-0.8437
-2.87354,5.364,-0.7409
-2.85054,4.762,-0.6309
-2.82754,4.284,-0.4865
