#Energy,TDOS-UP,TDOS-DOWN
-5.98287,395.2,-389.6
-5.95987,1.179,-0.3263
-5.93587,1.333,-0.4304
-5.91287,1.386,-0.5322
-5.88987,1.37,-0.5783
-5.86587,1.391,-0.5597
-5.84287,1.47,-0.5391
-5.81987,1.492,-0.5724
-5.79587,1.401,-0.6443
-5.77287,1.297,-0.7143
-5.74987,1.276,-0.7852
-5.72587,1.286,-0.8887
-5.70287,1.23,-1.02
-5.67987,1.129,-1.117
-5.65587,1.045,-1.121
-5.63287,0.9576,-1.081
-5.60987,0.8264,-1.107
-5.58587,0.6902,-1.204
-5.56287,0.6159,-1.26
-5.53987,0.6042,-1.213
-5.51587,0.5985,-1.118
-5.49287,0.5587,-1.063
-5.46987,0.4985,-1.083
-5.44587,0.4612,-1.116
-5.42287,0.4527,-1.087
-5.39987,0.4384,-1.001
-5.37587,0.4056,-0.9147
-5.35287,0.3666,-0.8446
-5.32987,0.3397,-0.7838
-5.30587,0.3628,-0.7226
-5.28287,0.4372,-0.6484
-5.25987,0.4886,-0.5783
-5.23587,0.4844,-0.5434
-5.21287,0.4895,-0.528
-5.18987,0.5287,-0.4945
-5.16587,0.5502,-0.4409
-5.14287,0.5493,-0.3887
-5.11987,0.5746,-0.3563
-5.09587,0.6364,-0.3537
-5.07287,0.6945,-0.371
-5.04987,0.7122,-0.3849
-5.02587,0.6849,-0.3896
-5.00287,0.6283,-0.3939
-4.97987,0.5723,-0.3996
-4.95587,0.5682,-0.4107
-4.93287,0.6443,-0.4354
-4.90987,0.7549,-0.4684
-4.88587,0.8238,-0.4916
-4.86287,0.8237,-0.4819
-4.83987,0.7835,-0.4309
-4.81587,0.7451,-0.3795
-4.79287,0.7269,-0.3995
-4.76987,0.7349,-0.5037
-4.74587,0.7823,-0.6141
-4.72287,0.8681,-0.6612
-4.69987,0.9445,-0.6548
-4.67587,0.9425,-0.6163
-4.65287,0.8593,-0.5399
-4.62987,0.7759,-0.4511
-4.60587,0.7579,-0.4063
-4.58287,0.8008,-0.422
-4.55987,0.8745,-0.4663
-4.53587,0.9631,-0.5214
-4.51287,1.056,-0.5819
-4.48987,1.12,-0.6224
-4.46587,1.114,-0.6316
-4.44287,1.064,-0.6302
-4.41987,1.091,-0.6342
