#Energy,TDOS-UP,TDOS-DOWN
-5.56953,393.0,-389.1
-5.54653,0.7277,-0.2685
-5.52253,0.8315,-0.2791
-5.49953,1.012,-0.3249
-5.47653,1.219,-0.4027
-5.45253,1.352,-0.4836
-5.42953,1.361,-0.5218
-5.40653,1.315,-0.5152
-5.38253,1.322,-0.5108
-5.35953,1.39,-0.5418
-5.33653,1.433,-0.5977
-5.31253,1.393,-0.6556
-5.28953,1.32,-0.7142
-5.26653,1.272,-0.7945
-5.24253,1.226,-0.9076
-5.21953,1.153,-1.014
-5.19653,1.073,-1.054
-5.17253,1.009,-1.028
-5.14953,0.9428,-1.001
-5.12653,0.8276,-1.023
-5.10253,0.6703,-1.101
-5.07953,0.5595,-1.196
-5.05653,0.5608,-1.224
-5.03253,0.6231,-1.132
-5.00953,0.6336,-0.9816
-4.98653,0.547,-0.9055
-4.96253,0.4271,-0.9508
-4.93953,0.3696,-1.033
-4.91653,0.4049,-1.033
-4.89253,0.4757,-0.9183
-4.86953,0.505,-0.7788
-4.84653,0.4753,-0.7113
-4.82253,0.4264,-0.7122
-4.79953,0.419,-0.7118
-4.77653,0.5042,-0.6561
-4.75253,0.6559,-0.5456
-4.72953,0.7605,-0.4439
-4.70653,0.7389,-0.414
-4.68253,0.6422,-0.4354
-4.65953,0.5852,-0.4423
-4.63653,0.6156,-0.4169
-4.61253,0.6889,-0.3922
-4.58953,0.7425,-0.3962
-4.56653,0.7491,-0.4255
-4.54253,0.7277,-0.458
-4.51953,0.7284,-0.4731
-4.49653,0.7755,-0.4614
-4.47253,0.8392,-0.4417
-4.44953,0.8887,-0.4524
-4.42653,0.9113,-0.4924
-4.40253,0.8808,-0.5168
-4.37953,0.7994,-0.5077
-4.35653,0.7501,-0.4972
-4.33253,0.8073,-0.5163
-4.30953,0.9384,-0.5519
-4.28653,1.052,-0.5804
-4.26253,1.09,-0.6152
-4.23953,1.051,-0.6545
-4.21653,0.9778,-0.6462
-4.19253,0.9275,-0.5729
-4.16953,0.9192,-0.4841
-4.14653,0.9473,-0.428
-4.12253,1.027,-0.4242
-4.09953,1.166,-0.4898
-4.07653,1.334,-0.6128
-4.05253,1.499,-0.7091
-4.02953,1.682,-0.7101
-4.00653,1.899,-0.6573
-3.98253,2.072,-0.6283
-3.95953,2.095,-0.6406
