#Energy,TDOS-UP,TDOS-DOWN
-5.78251,393.8,-389.3
-5.75951,0.8724,-0.2606
-5.73551,1.073,-0.312
-5.71251,1.273,-0.4066
-5.68951,1.382,-0.5076
-5.66551,1.36,-0.5593
-5.64251,1.306,-0.5426
-5.61951,1.347,-0.5147
-5.59551,1.452,-0.5373
-5.57251,1.475,-0.6045
-5.54951,1.384,-0.6744
-5.52551,1.29,-0.7378
-5.50251,1.256,-0.8291
-5.47951,1.219,-0.9607
-5.45551,1.149,-1.072
-5.43251,1.09,-1.089
-5.40951,1.037,-1.032
-5.38551,0.9329,-1.015
-5.36251,0.7658,-1.093
-5.33951,0.6107,-1.201
-5.31551,0.558,-1.248
-5.29251,0.6008,-1.2
-5.26951,0.6383,-1.083
-5.24551,0.5877,-0.9844
-5.22251,0.4793,-0.9877
-5.19951,0.4127,-1.058
-5.17551,0.4182,-1.078
-5.15251,0.4383,-0.9945
-5.12951,0.4325,-0.8611
-5.10551,0.4085,-0.7569
-5.08251,0.3894,-0.7188
-5.05951,0.4017,-0.7199
-5.03551,0.4455,-0.6899
-5.01251,0.5001,-0.6016
-4.98951,0.5662,-0.5071
-4.96551,0.6305,-0.4561
-4.94251,0.6403,-0.4402
-4.91951,0.5909,-0.4284
-4.89551,0.5611,-0.4056
-4.87251,0.6088,-0.3821
-4.84951,0.6929,-0.3764
-4.82551,0.7384,-0.391
-4.80251,0.7247,-0.4098
-4.77951,0.6733,-0.4194
-4.75551,0.6194,-0.4247
-4.73251,0.6188,-0.4297
-4.70951,0.7023,-0.4292
-4.68551,0.8188,-0.444
-4.66251,0.8852,-0.4911
-4.63951,0.8772,-0.5197
-4.61551,0.8227,-0.4858
-4.59251,0.756,-0.4377
-4.56951,0.7213,-0.4391
-4.54551,0.7601,-0.4933
-4.52251,0.8646,-0.5719
-4.49951,0.9743,-0.643
-4.47551,1.017,-0.67
-4.45251,0.9679,-0.6349
-4.42951,0.8819,-0.5621
-4.40551,0.8325,-0.4877
-4.38251,0.8497,-0.4296
-4.35951,0.9094,-0.4093
-4.33551,0.9736,-0.452
-4.31251,1.045,-0.5464
-4.28951,1.136,-0.6341
-4.26551,1.208,-0.6613
-4.24251,1.256,-0.6381
-4.21951,1.37,-0.6207
-4.19551,1.608,-0.6367
-4.17251,1.879,-0.6622
-4.14951,2.029,-0.664
-4.12551,1.999,-0.6295
-4.10251,1.881,-0.571
-4.07951,1.833,-0.5293
-4.05551,1.922,-0.5462
-4.03251,2.066,-0.6143
-4.00951,2.12,-0.6738
-3.98551,2.025,-0.6717
-3.96251,1.883,-0.622
-3.93951,1.84,-0.5804
-3.91551,1.913,-0.5655
-3.89251,1.995,-0.5566
-3.86951,2.033,-0.5599
-3.84551,2.092,-0.6176
-3.82251,2.212,-0.7354
-3.79951,2.333,-0.8429
-3.77551,2.368,-0.8591
