#Energy,TDOS-UP,TDOS-DOWN
-6.0118,395.5,-389.6
-5.9888,1.221,-0.3449
-5.9648,1.353,-0.4523
-5.9418,1.388,-0.5469
-5.9188,1.381,-0.5802
-5.8948,1.424,-0.5578
-5.8718,1.491,-0.5466
-5.8488,1.473,-0.5899
-5.8248,1.363,-0.6632
-5.8018,1.283,-0.7321
-5.7788,1.288,-0.8076
-5.7548,1.289,-0.9177
-5.7318,1.209,-1.048
-5.7088,1.102,-1.131
-5.6848,1.019,-1.123
-5.6618,0.924,-1.092
-5.6388,0.7913,-1.138
-5.6148,0.6727,-1.231
-5.5918,0.616,-1.257
-5.5688,0.6012,-1.187
-5.5448,0.5813,-1.099
-5.5218,0.5374,-1.074
-5.4988,0.4897,-1.109
-5.4748,0.4647,-1.123
-5.4518,0.4512,-1.064
-5.4288,0.4257,-0.974
-5.4048,0.39,-0.9003
-5.3818,0.3535,-0.8397
-5.3588,0.3378,-0.775
-5.3348,0.3793,-0.6979
-5.3118,0.4549,-0.6154
-5.2888,0.4865,-0.5606
-5.2648,0.4727,-0.5453
-5.2418,0.4848,-0.5312
-5.2188,0.5248,-0.4872
-5.1948,0.5437,-0.4253
-5.1718,0.5511,-0.3724
-5.1488,0.5864,-0.3481
-5.1248,0.6464,-0.3552
-5.1018,0.6958,-0.3739
-5.0788,0.706,-0.3841
-5.0548,0.6725,-0.388
-5.0318,0.6127,-0.3914
-5.0088,0.5635,-0.3966
-4.9848,0.5732,-0.4148
-4.9618,0.6554,-0.4462
-4.9388,0.7594,-0.4745
-4.9148,0.8187,-0.487
-4.8918,0.8125,-0.4678
-4.8688,0.7708,-0.4112
-4.8448,0.7367,-0.3697
-4.8218,0.7257,-0.4154
-4.7988,0.7389,-0.5327
-4.7748,0.7875,-0.629
-4.7518,0.8706,-0.6597
-4.7288,0.9405,-0.65
-4.7048,0.9295,-0.6052
-4.6818,0.8421,-0.5174
-4.6588,0.7628,-0.432
-4.6348,0.7503,-0.406
-4.6118,0.7946,-0.4325
-4.5888,0.8696,-0.474
-4.5648,0.9646,-0.5264
-4.5418,1.064,-0.5862
-4.5188,1.123,-0.6249
-4.4948,1.103,-0.6337
-4.4718,1.041,-0.6313
-4.4488,1.065,-0.6313
-4.4248,1.256,-0.6331
-4.4018,1.558,-0.6295
-4.3788,1.824,-0.6078
-4.3548,1.946,-0.5635
-4.3318,1.929,-0.5259
-4.3088,1.878,-0.5416
-4.2848,1.899,-0.6079
-4.2618,1.999,-0.6595
-4.2388,2.081,-0.652
-4.2148,2.051,-0.6155
-4.1918,1.959,-0.5873
-4.1688,1.927,-0.5559
-4.1448,1.981,-0.5084
-4.1218,2.036,-0.4899
-4.0988,2.057,-0.5624
-4.0748,2.119,-0.7047
-4.0518,2.261,-0.8204
-4.0288,2.408,-0.8451
-4.0048,2.447,-0.791
-3.9818,2.329,-0.7016
-3.9588,2.104,-0.6065
-3.9348,1.867,-0.5249
-3.9118,1.687,-0.4943
-3.8888,1.61,-0.5479
-3.8648,1.631,-0.6565
-3.8418,1.67,-0.7485
-3.8188,1.673,-0.7865
-3.7948,1.637,-0.7824
-3.7718,1.554,-0.7602
-3.7488,1.415,-0.7383
-3.7248,1.268,-0.7366
-3.7018,1.168,-0.7747
-3.6788,1.103,-0.8515
-3.6548,1.039,-0.9507
-3.6318,0.9947,-1.074
-3.6088,1.023,-1.238
-3.5848,1.135,-1.44
-3.5618,1.304,-1.662
-3.5388,1.527,-1.884
-3.5148,1.879,-2.089
-3.4918,2.422,-2.273
-3.4688,3.046,-2.45
-3.4448,3.525,-2.669
-3.4218,3.756,-2.96
-3.3988,3.765,-3.268
-3.3748,3.53,-3.505
-3.3518,3.077,-3.617
-3.3288,2.603,-3.559
-3.3048,2.262,-3.287
-3.2818,2.017,-2.838
-3.2588,1.824,-2.379
-3.2348,1.755,-2.045
-3.2118,1.854,-1.788
-3.1888,2.02,-1.538
-3.1648,2.179,-1.361
-3.1418,2.516,-1.302
-3.1188,3.321,-1.263
-3.0948,4.597,-1.143
-3.0718,5.947,-0.9703
-3.0488,6.854,-0.8294
-3.0248,7.055,-0.7231
-3.0018,6.723,-0.61
-2.9788,6.176,-0.4932
-2.9548,5.515,-0.3947
-2.9318,4.799,-0.314
-2.9088,4.236,-0.2491
-2.8848,3.946,-0.2161
-2.8618,3.873,-0.2286
-2.8388,3.927,-0.272
-2.8148,4.024,-0.3183
-2.7918,4.102,-0.3618
-2.7688,4.184,-0.4146
-2.7448,4.322,-0.4852
-2.7218,4.461,-0.5873
-2.6988,4.464,-0.7358
-2.6748,4.281,-0.9411
-2.6518,4.074,-1.232
-2.6288,4.037,-1.633
-2.6048,4.124,-2.091
-2.5818,4.114,-2.475
-2.5588,3.893,-2.681
-2.5348,3.567,-2.688
-2.5118,3.31,-2.519
-2.4888,3.227,-2.253
-2.4648,3.316,-2.023
-2.4418,3.435,-1.937
-2.4188,3.425,-2.018
-2.3948,3.309,-2.216
-2.3718,3.2,-2.413
-2.3488,3.105,-2.476
-2.3248,2.94,-2.343
-2.3018,2.672,-2.071
-2.2788,2.344,-1.805
-2.2548,2.025,-1.662
-2.2318,1.775,-1.645
-2.2088,1.598,-1.645
-2.1848,1.445,-1.563
-2.1618,1.276,-1.455
-2.1388,1.119,-1.456
-2.1148,1.021,-1.559
-2.0918,0.9915,-1.649
-2.0688,1.066,-1.699
-2.0448,1.348,-1.75
-2.0218,1.902,-1.817
-1.9988,2.628,-1.943
-1.9748,3.295,-2.183
-1.9518,3.727,-2.491
-1.9288,3.973,-2.801
-1.9048,4.221,-3.226
-1.8818,4.457,-3.935
-1.8588,4.485,-4.874
-1.8348,4.325,-5.796
-1.8118,4.205,-6.45
-1.7888,4.19,-6.633
-1.7648,4.151,-6.262
-1.7418,3.952,-5.435
-1.7188,3.577,-4.383
-1.6948,3.166,-3.364
-1.6718,2.871,-2.585
-1.6488,2.715,-2.157
-1.6248,2.621,-2.064
-1.6018,2.526,-2.246
-1.5788,2.48,-2.639
-1.5548,2.614,-3.101
-1.5318,3.003,-3.523
-1.5088,3.538,-3.964
-1.4848,3.971,-4.484
-1.4618,4.115,-4.98
-1.4388,4.038,-5.246
-1.4148,3.988,-5.108
-1.3918,4.103,-4.632
-1.3688,4.296,-4.157
-1.3448,4.419,-3.939
-1.3218,4.403,-3.956
-1.2988,4.266,-4.117
-1.2748,4.063,-4.439
-1.2518,3.846,-4.846
-1.2288,3.677,-5.126
-1.2048,3.642,-5.235
-1.1818,3.748,-5.277
-1.1588,3.847,-5.221
-1.1348,3.78,-4.949
-1.1118,3.578,-4.507
-1.0888,3.431,-4.223
-1.0648,3.484,-4.575
-1.0418,3.764,-5.797
-1.0188,4.26,-7.424
-0.9948,4.959,-8.504
-0.9718,5.765,-8.434
-0.9488,6.494,-7.355
-0.9248,7.043,-5.83
-0.9018,7.49,-4.446
-0.8788,7.92,-3.526
-0.8548,8.176,-3.024
-0.8318,7.913,-2.789
-0.8088,7.034,-2.777
-0.7848,5.951,-2.894
-0.7618,5.176,-2.958
-0.7388,4.832,-2.908
-0.7148,4.675,-2.843
-0.6918,4.443,-2.85
-0.6688,4.096,-2.885
-0.6448,3.803,-2.814
-0.6218,3.735,-2.599
-0.5988,3.908,-2.388
-0.5748,4.177,-2.289
-0.5518,4.353,-2.226
-0.5288,4.306,-2.136
-0.5048,3.991,-2.074
-0.4818,3.487,-2.107
-0.4588,2.986,-2.221
-0.4348,2.628,-2.333
-0.4118,2.418,-2.333
-0.3888,2.289,-2.114
-0.3648,2.195,-1.702
-0.3418,2.134,-1.256
-0.3188,2.086,-0.9069
-0.2948,2.001,-0.6769
-0.2718,1.92,-0.528
-0.2488,1.952,-0.412
-0.2248,2.074,-0.3176
-0.2018,2.127,-0.2625
-0.1788,2.041,-0.2475
-0.1548,1.898,-0.2529
-0.1318,1.793,-0.2583
-0.1088,1.747,-0.2449
-0.0848,1.731,-0.2034
-0.0618,1.705,-0.1538
-0.0388,1.655,-0.1278
-0.0148,1.592,-0.1268
0.0082,1.517,-0.1252
0.0312,1.405,-0.1077
0.0552,1.29,-0.08432
0.0782,1.275,-0.06878
0.1012,1.366,-0.05867
0.1252,1.426,-0.04433
0.1482,1.375,-0.02646
0.1712,1.281,-0.01259
0.1952,1.196,-0.00511
0.2182,1.097,-0.00178
0.2412,0.9859,-0.00049
0.2652,0.9194,-9e-05
0.2882,0.9288,-1e-05
0.3112,0.9858,-0.0
0.3352,1.07,-0.0
0.3582,1.174,-0.0
0.3812,1.236,-5e-05
0.4052,1.179,-0.00055
0.4282,1.022,-0.00436
0.4512,0.87,-0.02408
0.4752,0.8143,-0.09408
0.4982,0.8479,-0.2659
0.5212,0.9021,-0.5642
0.5452,0.9459,-0.9476
0.5682,0.9751,-1.34
0.5912,0.9748,-1.693
0.6152,0.9577,-2.004
0.6382,0.9237,-2.278
0.6612,0.8161,-2.497
0.6852,0.6376,-2.663
0.7082,0.5071,-2.816
0.7312,0.5404,-2.988
0.7552,0.7541,-3.191
0.7782,1.046,-3.445
0.8012,1.228,-3.793
0.8252,1.184,-4.2
0.8482,0.9882,-4.516
0.8712,0.7897,-4.582
0.8952,0.6774,-4.4
0.9182,0.6581,-4.159
0.9412,0.6852,-4.056
0.9652,0.7066,-4.097
0.9882,0.6944,-4.159
1.0112,0.6658,-4.159
1.0352,0.6799,-4.085
1.0582,0.7574,-3.924
1.0812,0.8311,-3.64
1.1052,0.8372,-3.259
1.1282,0.7868,-2.902
1.1512,0.7041,-2.654
1.1752,0.5988,-2.486
1.1982,0.5214,-2.314
1.2212,0.5361,-2.136
1.2452,0.6309,-2.072
1.2682,0.7375,-2.165
1.2912,0.8178,-2.239
1.3152,0.8638,-2.178
1.3382,0.8548,-2.102
1.3612,0.7834,-2.15
1.3852,0.6917,-2.32
1.4082,0.6445,-2.526
1.4312,0.6751,-2.694
1.4552,0.7328,-2.839
1.4782,0.7119,-3.073
1.5012,0.5941,-3.406
1.5252,0.4845,-3.676
1.5482,0.454,-3.823
1.5712,0.4677,-3.964
1.5952,0.4966,-4.156
1.6182,0.5657,-4.348
1.6412,0.6706,-4.491
1.6652,0.7407,-4.623
1.6882,0.7194,-4.887
1.7112,0.6361,-5.374
1.7352,0.5629,-5.911
1.7582,0.5358,-6.062
1.7812,0.5602,-5.542
1.8052,0.621,-4.609
1.8282,0.6579,-3.736
1.8512,0.6295,-3.096
1.8752,0.5841,-2.635
1.8982,0.5754,-2.312
1.9212,0.5802,-2.09
1.9452,0.5642,-1.945
1.9682,0.5442,-1.906
1.9912,0.5359,-1.981
2.0152,0.5213,-2.092
2.0382,0.5141,-2.144
2.0612,0.5539,-2.119
2.0852,0.6017,-2.058
2.1082,0.5762,-1.996
2.1312,0.4952,-1.934
2.1552,0.4491,-1.86
2.1782,0.4655,-1.764
2.2012,0.4847,-1.649
2.2252,0.4495,-1.577
2.2482,0.3919,-1.597
2.2712,0.397,-1.621
2.2952,0.4765,-1.543
2.3182,0.5504,-1.424
2.3412,0.5623,-1.371
2.3652,0.5263,-1.337
2.3882,0.4765,-1.233
2.4112,0.4491,-1.092
2.4352,0.4696,-1.024
2.4582,0.5129,-1.078
2.4812,0.5244,-1.195
2.5052,0.4775,-1.262
2.5282,0.3911,-1.234
2.5512,0.3185,-1.154
2.5752,0.3126,-1.097
2.5982,0.383,-1.1
2.6212,0.4838,-1.123
2.6452,0.5426,-1.115
2.6682,0.5202,-1.093
2.6912,0.4438,-1.085
2.7152,0.3719,-1.071
2.7382,0.3405,-1.034
2.7612,0.3504,-0.987
2.7852,0.3879,-0.9377
2.8082,0.433,-0.8867
2.8312,0.4476,-0.866
2.8552,0.3943,-0.9093
2.8782,0.2954,-0.9778
2.9012,0.2281,-0.9914
2.9252,0.2365,-0.9485
2.9482,0.2927,-0.9308
2.9712,0.3412,-0.9787
2.9952,0.3424,-1.045
3.0182,0.3103,-1.069
3.0412,0.309,-1.04
3.0652,0.3594,-0.9809
3.0882,0.3947,-0.9116
3.1112,0.3641,-0.8313
3.1352,0.3134,-0.7502
3.1582,0.3084,-0.7165
3.1812,0.3382,-0.7556
3.2052,0.3442,-0.8241
3.2282,0.3122,-0.8685
3.2512,0.2884,-0.8843
3.2752,0.3109,-0.872
3.2982,0.355,-0.7995
3.3212,0.3594,-0.6588
3.3452,0.3056,-0.5015
3.3682,0.2406,-0.4034
3.3912,0.2193,-0.4158
3.4152,0.2418,-0.5222
3.4382,0.2629,-0.6525
3.4612,0.2543,-0.7425
3.4852,0.2291,-0.7549
3.5082,0.2039,-0.6903
3.5312,0.18,-0.6015
3.5552,0.1731,-0.539
3.5782,0.2062,-0.5187
3.6012,0.261,-0.5575
3.6252,0.2928,-0.6375
3.6482,0.2865,-0.67
3.6712,0.2618,-0.6046
3.6952,0.2452,-0.5048
3.7182,0.2554,-0.4362
3.7412,0.3019,-0.3885
3.7652,0.3717,-0.3616
3.7882,0.412,-0.404
3.8112,0.3809,-0.5091
3.8352,0.321,-0.5841
3.8582,0.3111,-0.5746
3.8812,0.364,-0.5234
3.9052,0.4337,-0.4835
3.9282,0.4836,-0.4633
3.9512,0.5174,-0.4587
3.9752,0.5708,-0.4651
3.9982,0.6886,-0.4532
4.0212,0.878,-0.4009
4.0452,1.063,-0.3357
4.0682,1.135,-0.2998
4.0912,1.081,-0.2998
4.1152,1.0,-0.3081
4.1382,0.9566,-0.3004
4.1612,0.9362,-0.2776
4.1852,0.9303,-0.2519
4.2082,0.9766,-0.2367
4.2312,1.095,-0.2428
4.2552,1.231,-0.2747
4.2782,1.301,-0.3329
4.3012,1.268,-0.4079
4.3252,1.161,-0.479
4.3482,1.036,-0.5352
4.3712,0.9262,-0.5923
4.3952,0.8325,-0.6742
4.4182,0.7379,-0.7796
4.4412,0.6345,-0.8653
4.4652,0.5513,-0.8717
4.4882,0.5331,-0.7935
4.5112,0.5713,-0.7036
4.5352,0.6047,-0.6714
4.5582,0.5954,-0.6968
4.5812,0.5606,-0.7428
4.6052,0.549,-0.7875
4.6282,0.6024,-0.8164
4.6512,0.6969,-0.8062
4.6752,0.7558,-0.7764
4.6982,0.7706,-0.8167
4.7212,0.8054,-0.9691
4.7452,0.8685,-1.134
4.7682,0.8989,-1.199
4.7912,0.8608,-1.188
4.8152,0.7759,-1.187
4.8382,0.6722,-1.221
4.8612,0.5724,-1.258
4.8852,0.5159,-1.266
4.9082,0.521,-1.248
4.9312,0.5636,-1.195
4.9552,0.6035,-1.069
4.9782,0.5973,-0.908
5.0012,0.5354,-0.7893
5.0252,0.4618,-0.7235
5.0482,0.4287,-0.6781
5.0712,0.4507,-0.632
5.0952,0.4917,-0.5738
5.1182,0.5091,-0.5314
5.1412,0.5193,-0.5654
5.1652,0.5695,-0.6715
5.1882,0.658,-0.7631
5.2112,0.7348,-0.7853
5.2352,0.7529,-0.7834
5.2582,0.6898,-0.8389
5.2812,0.5786,-0.949
5.3052,0.5031,-1.022
5.3282,0.4898,-1.003
5.3512,0.4804,-0.8934
5.3752,0.4491,-0.7125
5.3982,0.4319,-0.5252
5.4212,0.4297,-0.4125
5.4452,0.3886,-0.3755
5.4682,0.2976,-0.3572
5.4912,0.2253,-0.3268
5.5152,0.2338,-0.3037
5.5382,0.3013,-0.3246
5.5612,0.3573,-0.3997
5.5852,0.3791,-0.4955
5.6082,0.4257,-0.5612
5.6312,0.5616,-0.5653
5.6552,0.7389,-0.5012
5.6782,0.8244,-0.4001
5.7012,0.7786,-0.3279
5.7252,0.7068,-0.3112
5.7482,0.7068,-0.3223
5.7712,0.751,-0.344
5.7952,0.7536,-0.3692
5.8182,0.702,-0.3627
5.8412,0.6583,-0.3009
5.8652,0.6575,-0.2262
5.8882,0.659,-0.1982
5.9112,0.6225,-0.2275
5.9352,0.5929,-0.2808
5.9582,0.6148,-0.3096
5.9812,0.6299,-0.2839
6.0052,0.5782,-0.2174
6.0282,0.4967,-0.1567
6.0512,0.4495,-0.1468
6.0752,0.4512,-0.1971
6.0982,0.4787,-0.2775
6.1212,0.5006,-0.3455
6.1452,0.5007,-0.3762
6.1682,0.487,-0.3703
6.1912,0.4812,-0.349
6.2152,0.5052,-0.3474
6.2382,0.5684,-0.395
6.2612,0.6617,-0.4896
6.2852,0.7552,-0.6102
6.3082,0.8018,-0.7502
6.3312,0.7777,-0.901
6.3552,0.7101,-1.016
6.3782,0.6286,-1.053
6.4012,0.5379,-1.032
6.4252,0.4522,-1.0
6.4482,0.3981,-0.975
6.4712,0.3758,-0.9656
6.4952,0.3654,-0.9644
6.5182,0.3624,-0.9246
6.5412,0.3714,-0.8161
6.5652,0.3801,-0.666
6.5882,0.3699,-0.527
6.6112,0.3427,-0.4302
6.6352,0.3073,-0.3763
6.6582,0.2672,-0.3662
6.6812,0.2342,-0.4025
6.7052,0.2147,-0.4541
6.7282,0.2039,-0.4748
6.7512,0.2118,-0.4661
6.7752,0.2567,-0.4691
6.7982,0.3222,-0.5127
6.8212,0.3631,-0.6159
6.8452,0.357,-0.7899
6.8682,0.3145,-0.9959
6.8912,0.2522,-1.129
6.9152,0.1892,-1.081
6.9382,0.1529,-0.8505
6.9612,0.1565,-0.5673
6.9852,0.1787,-0.3712
7.0082,0.2,-0.2867
7.0312,0.2395,-0.244
7.0552,0.3116,-0.1968
7.0782,0.3825,-0.1736
7.1012,0.4132,-0.2084
7.1252,0.409,-0.2772
7.1482,0.3883,-0.3346
7.1712,0.3519,-0.3611
7.1952,0.314,-0.3585
7.2182,0.2991,-0.3481
7.2412,0.3002,-0.3727
7.2652,0.2851,-0.4459
7.2882,0.2407,-0.5042
7.3112,0.186,-0.4744
7.3352,0.139,-0.3789
7.3582,0.1006,-0.3052
7.3812,0.07632,-0.2989
7.4052,0.07202,-0.3475
7.4282,0.07184,-0.4205
7.4512,0.0563,-0.4896
7.4752,0.03207,-0.5488
7.4982,0.02075,-0.6004
7.5212,0.03696,-0.6132
7.5452,0.08182,-0.5435
7.5682,0.1315,-0.4024
7.5912,0.1437,-0.2513
7.6152,0.1071,-0.1344
7.6382,0.06173,-0.06151
7.6612,0.0471,-0.03032
7.6852,0.06121,-0.03074
7.7082,0.07605,-0.0482
7.7312,0.07763,-0.0775
7.7552,0.07885,-0.1282
7.7782,0.09275,-0.2048
7.8012,0.1145,-0.2905
7.8252,0.1313,-0.3591
7.8482,0.1321,-0.3893
7.8712,0.1097,-0.3697
7.8952,0.06964,-0.3158
7.9182,0.0324,-0.2645
7.9412,0.01447,-0.2275
7.9652,0.02069,-0.186
7.9882,0.0521,-0.1386
