#Energy,TDOS-UP,TDOS-DOWN
-5.63372,393.2,-389.1
-5.61072,0.7448,-0.2624
-5.58672,0.8808,-0.2804
-5.56372,1.084,-0.3395
-5.54072,1.281,-0.4292
-5.51672,1.376,-0.5095
-5.49372,1.348,-0.5354
-5.47072,1.301,-0.5175
-5.44672,1.336,-0.5125
-5.42372,1.422,-0.551
-5.40072,1.445,-0.6138
-5.37672,1.377,-0.6748
-5.35372,1.3,-0.7386
-5.33072,1.256,-0.8326
-5.30672,1.202,-0.957
-5.28372,1.127,-1.051
-5.26072,1.062,-1.059
-5.23672,1.009,-1.013
-5.21372,0.9229,-1.001
-5.19072,0.7722,-1.059
-5.16672,0.6129,-1.157
-5.14372,0.5444,-1.23
-5.12072,0.585,-1.208
-5.09672,0.6407,-1.082
-5.07372,0.6108,-0.9486
-5.05072,0.4989,-0.9243
-5.02672,0.3997,-1.003
-5.00372,0.3831,-1.064
-4.98072,0.4293,-1.006
-4.95672,0.4717,-0.8621
-4.93372,0.4713,-0.7417
-4.91072,0.4405,-0.7049
-4.88672,0.4144,-0.7168
-4.86372,0.4327,-0.7038
-4.84072,0.5251,-0.6226
-4.81672,0.658,-0.5044
-4.79372,0.7329,-0.4279
-4.77072,0.6953,-0.4219
-4.74672,0.608,-0.437
-4.72372,0.5765,-0.4268
-4.70072,0.629,-0.3997
-4.67672,0.7065,-0.387
-4.65372,0.7468,-0.4009
-4.63072,0.7347,-0.4288
-4.60672,0.6968,-0.4507
-4.58372,0.687,-0.4559
-4.56072,0.7373,-0.4455
-4.53672,0.8189,-0.437
-4.51372,0.8852,-0.4575
-4.49072,0.9104,-0.5006
-4.46672,0.8753,-0.5191
-4.44372,0.7911,-0.4958
-4.42072,0.7351,-0.4773
-4.39672,0.7798,-0.5009
-4.37372,0.9025,-0.5452
-4.35072,1.019,-0.5864
-4.32672,1.065,-0.6325
-4.30372,1.031,-0.6624
-4.28072,0.9551,-0.63
-4.25672,0.9015,-0.5477
-4.23372,0.8998,-0.4692
-4.21072,0.9334,-0.423
-4.18672,0.9956,-0.4246
-4.16372,1.102,-0.4966
-4.14072,1.24,-0.6174
-4.11672,1.374,-0.6983
-4.09372,1.516,-0.6886
-4.07072,1.716,-0.6412
-4.04672,1.945,-0.6252
-4.02372,2.078,-0.6461
-4.00072,2.04,-0.6666
-3.97672,1.903,-0.6546
-3.95372,1.818,-0.6084
-3.93072,1.883,-0.5605
-3.90672,2.038,-0.5553
-3.88372,2.117,-0.6022
-3.86072,2.041,-0.6625
-3.83672,1.899,-0.6821
-3.81372,1.838,-0.6446
-3.79072,1.892,-0.5958
-3.76672,1.96,-0.5818
-3.74372,1.984,-0.591
-3.72072,2.008,-0.5996
-3.69672,2.088,-0.6305
-3.67372,2.213,-0.7203
-3.65072,2.327,-0.8346
-3.62672,2.374,-0.8756
-3.60372,2.305,-0.8078
-3.58072,2.123,-0.6979
-3.55672,1.936,-0.6034
-3.53372,1.863,-0.5338
-3.51072,1.893,-0.5191
-3.48672,1.918,-0.588
-3.46372,1.858,-0.7025
-3.44072,1.708,-0.7986
-3.41672,1.506,-0.852
-3.39372,1.318,-0.8712
-3.37072,1.232,-0.8755
-3.34672,1.314,-0.8822
-3.32372,1.581,-0.8984
-3.30072,1.988,-0.9334
-3.27672,2.455,-1.022
-3.25372,2.912,-1.22
-3.23072,3.321,-1.535
-3.20672,3.646,-1.873
-3.18372,3.802,-2.105
-3.16072,3.697,-2.201
-3.13672,3.373,-2.25
-3.11372,2.98,-2.336
-3.09072,2.62,-2.485
-3.06672,2.35,-2.69
-3.04372,2.205,-2.917
-3.02072,2.139,-3.122
-2.99672,2.092,-3.268
-2.97372,2.213,-3.337
-2.95072,2.793,-3.308
-2.92672,3.898,-3.143
-2.90372,5.225,-2.831
-2.88072,6.346,-2.459
-2.85672,6.932,-2.148
-2.83372,6.91,-1.893
-2.81072,6.506,-1.63
-2.78672,5.961,-1.39
-2.76372,5.329,-1.238
-2.74072,4.707,-1.146
-2.71672,4.27,-1.032
-2.69372,4.04,-0.8676
-2.67072,3.982,-0.7112
-2.64672,4.151,-0.6188
-2.62372,4.448,-0.562
-2.60072,4.57,-0.4866
-2.57672,4.395,-0.3988
-2.55372,4.106,-0.346
-2.53072,3.859,-0.3642
-2.50672,3.623,-0.4657
-2.48372,3.384,-0.6424
-2.46072,3.179,-0.8781
-2.43672,3.03,-1.159
-2.41372,2.965,-1.471
-2.39072,2.96,-1.802
-2.36672,2.95,-2.138
-2.34372,2.957,-2.455
-2.32072,3.02,-2.722
-2.29672,3.124,-2.909
-2.27372,3.293,-3.008
-2.25072,3.57,-3.082
-2.22672,3.868,-3.189
-2.20372,4.048,-3.248
