#Energy,TDOS-UP,TDOS-DOWN
-5.66133,393.3,-389.2
-5.63833,0.7586,-0.2605
-5.61433,0.9094,-0.2828
-5.59133,1.119,-0.3485
-5.56833,1.307,-0.4424
-5.54433,1.381,-0.5206
-5.52133,1.339,-0.5397
-5.49833,1.298,-0.5173
-5.47433,1.35,-0.5142
-5.45133,1.439,-0.5575
-5.42833,1.446,-0.6231
-5.40433,1.365,-0.6847
-5.38133,1.289,-0.7514
-5.35833,1.248,-0.8526
-5.33433,1.192,-0.9801
-5.31133,1.117,-1.064
-5.28833,1.059,-1.057
-5.26433,1.006,-1.007
-5.24133,0.9048,-1.007
-5.21833,0.7414,-1.081
-5.19433,0.5908,-1.182
-5.17133,0.546,-1.238
-5.14833,0.5992,-1.192
-5.12433,0.6436,-1.057
-5.10133,0.5929,-0.9406
-5.07833,0.4758,-0.9421
-5.05433,0.3931,-1.028
-5.03133,0.3938,-1.068
-5.00833,0.4379,-0.9846
-4.98433,0.4653,-0.8364
-4.96133,0.4551,-0.7302
-4.93833,0.4273,-0.7061
-4.91433,0.4129,-0.7191
-4.89133,0.4425,-0.6949
-4.86833,0.536,-0.6016
-4.84433,0.6577,-0.4871
-4.82133,0.7184,-0.4261
-4.79833,0.6749,-0.4265
-4.77433,0.5944,-0.435
-4.75133,0.5762,-0.4186
-4.72833,0.6381,-0.3932
-4.70433,0.7148,-0.3861
-4.68133,0.7469,-0.4032
-4.65833,0.7264,-0.4293
-4.63433,0.6828,-0.4463
-4.61133,0.671,-0.4489
-4.58833,0.7245,-0.4406
-4.56433,0.8138,-0.4364
-4.54133,0.8853,-0.4609
-4.51833,0.9081,-0.5054
-4.49433,0.869,-0.5184
-4.47133,0.7854,-0.4876
-4.44833,0.7305,-0.4686
-4.42433,0.7723,-0.4962
-4.40133,0.8911,-0.5446
-4.37833,1.007,-0.5923
-4.35433,1.055,-0.6419
-4.33133,1.021,-0.6634
-4.30833,0.9432,-0.6195
-4.28433,0.889,-0.536
-4.26133,0.8905,-0.4625
-4.23833,0.9286,-0.4201
-4.21433,0.9881,-0.426
-4.19133,1.084,-0.503
-4.16833,1.211,-0.6215
-4.14433,1.331,-0.6931
-4.12133,1.455,-0.6784
-4.09833,1.642,-0.6347
-4.07433,1.882,-0.6252
-4.05133,2.052,-0.6493
-4.02833,2.054,-0.6682
-4.00433,1.93,-0.6525
-3.98133,1.826,-0.603
-3.95833,1.862,-0.5542
-3.93433,2.011,-0.551
-3.91133,2.117,-0.6014
-3.88833,2.068,-0.6636
-3.86433,1.922,-0.6817
-3.84133,1.834,-0.6421
-3.81833,1.875,-0.5931
-3.79433,1.956,-0.5783
-3.77133,1.992,-0.5848
-3.74833,2.014,-0.592
-3.72433,2.086,-0.6257
-3.70133,2.207,-0.7193
-3.67833,2.318,-0.8338
-3.65433,2.363,-0.8734
-3.63133,2.305,-0.8057
-3.60833,2.137,-0.6971
-3.58433,1.941,-0.6031
-3.56133,1.843,-0.5324
-3.53833,1.863,-0.5156
-3.51433,1.901,-0.5834
-3.49133,1.863,-0.6981
-3.46833,1.74,-0.7948
-3.44433,1.555,-0.8466
-3.42133,1.353,-0.8611
-3.39833,1.217,-0.8608
-3.37433,1.231,-0.8676
-3.35133,1.422,-0.8869
-3.32833,1.761,-0.9208
-3.30433,2.187,-1.0
-3.28133,2.648,-1.18
-3.25833,3.099,-1.476
-3.23433,3.49,-1.812
-3.21133,3.746,-2.061
-3.18833,3.772,-2.178
-3.16433,3.544,-2.233
-3.14133,3.17,-2.315
-3.11833,2.787,-2.459
-3.09433,2.473,-2.663
-3.07133,2.268,-2.896
-3.04833,2.157,-3.11
-3.02433,2.068,-3.267
-3.00133,2.04,-3.35
-2.97833,2.32,-3.333
-2.95433,3.123,-3.175
-2.93133,4.344,-2.87
-2.90833,5.628,-2.502
-2.88433,6.599,-2.182
-2.86133,6.998,-1.912
-2.83833,6.827,-1.637
-2.81433,6.347,-1.396
-2.79133,5.747,-1.255
-2.76833,5.088,-1.176
-2.74433,4.521,-1.065
-2.72133,4.167,-0.8949
-2.69833,3.993,-0.7258
-2.67433,4.01,-0.6184
-2.65133,4.248,-0.5591
-2.62833,4.504,-0.4961
-2.60433,4.509,-0.4148
-2.58133,4.285,-0.3463
-2.55833,4.034,-0.3321
-2.53433,3.812,-0.3964
-2.51133,3.574,-0.541
-2.48833,3.347,-0.7503
-2.46433,3.17,-1.003
-2.44133,3.062,-1.285
-2.41833,3.019,-1.598
-2.39433,2.99,-1.945
-2.37133,2.972,-2.297
-2.34833,3.021,-2.61
-2.32433,3.119,-2.838
-2.30133,3.234,-2.947
-2.27833,3.434,-2.982
-2.25433,3.739,-3.057
-2.23133,4.009,-3.179
-2.20833,4.151,-3.192
-2.18433,4.236,-2.963
-2.16133,4.247,-2.536
-2.13833,4.001,-2.111
-2.11433,3.461,-1.879
-2.09133,2.859,-1.847
-2.06833,2.387,-1.831
-2.04433,2.037,-1.708
-2.02133,1.765,-1.569
-1.99833,1.566,-1.537
-1.97433,1.408,-1.601
-1.95133,1.255,-1.69
-1.92833,1.114,-1.789
-1.90433,1.015,-1.907
-1.88133,0.9825,-2.038
-1.85833,1.084,-2.216
-1.83433,1.436,-2.519
-1.81133,2.082,-3.001
-1.78833,2.876,-3.697
-1.76433,3.555,-4.615
-1.74133,3.98,-5.624
-1.71833,4.261,-6.409
-1.69433,4.521,-6.667
-1.67133,4.665,-6.33
-1.64833,4.601,-5.576
-1.62433,4.439,-4.69
-1.60133,4.299,-3.893
-1.57833,4.164,-3.273
-1.55433,3.962,-2.833
-1.53133,3.661,-2.569
-1.50833,3.296,-2.505
-1.48433,2.938,-2.687
-1.46133,2.656,-3.097
-1.43833,2.496,-3.629
-1.41433,2.424,-4.18
-1.39133,2.384,-4.668
-1.36833,2.471,-5.02
-1.34433,2.851,-5.186
-1.32133,3.477,-5.072
-1.29833,4.071,-4.605
-1.27433,4.405,-3.989
-1.25133,4.491,-3.593
-1.22833,4.513,-3.536
-1.20433,4.613,-3.674
-1.18133,4.759,-3.927
-1.15833,4.808,-4.334
-1.13433,4.681,-4.851
-1.11133,4.448,-5.291
-1.08833,4.24,-5.477
-1.06433,4.117,-5.346
-1.04133,4.096,-4.952
-1.01833,4.175,-4.445
-0.99433,4.238,-4.002
-0.97133,4.147,-3.757
-0.94833,3.94,-3.884
-0.92433,3.784,-4.636
-0.90133,3.84,-5.992
-0.87833,4.191,-7.385
-0.85433,4.809,-8.092
-0.83133,5.557,-7.833
-0.80833,6.264,-6.819
-0.78433,6.796,-5.482
-0.76133,7.108,-4.282
-0.73833,7.228,-3.48
-0.71433,7.193,-3.047
-0.69133,6.98,-2.883
-0.66833,6.525,-2.926
-0.64433,5.854,-3.07
-0.62133,5.187,-3.147
-0.59833,4.766,-3.078
-0.57433,4.642,-2.973
-0.55133,4.648,-2.958
-0.52833,4.545,-2.949
-0.50433,4.24,-2.797
-0.48133,3.876,-2.579
-0.45833,3.653,-2.45
-0.43433,3.67,-2.391
-0.41133,3.901,-2.305
-0.38833,4.179,-2.203
-0.36433,4.301,-2.186
-0.34133,4.183,-2.297
-0.31833,3.862,-2.464
-0.29433,3.411,-2.488
-0.27133,2.92,-2.17
-0.24833,2.497,-1.577
-0.22433,2.19,-1.018
-0.20133,1.981,-0.6915
-0.17833,1.855,-0.5526
-0.15433,1.816,-0.4946
-0.13133,1.858,-0.4703
-0.10833,1.951,-0.4455
-0.08433,2.04,-0.3791
-0.06133,2.098,-0.2864
-0.03833,2.118,-0.2303
-0.01433,2.073,-0.2321
0.00867,1.957,-0.2527
0.03167,1.818,-0.2519
0.05567,1.71,-0.2194
0.07867,1.645,-0.1723
0.10167,1.595,-0.1399
0.12567,1.528,-0.1328
0.14867,1.437,-0.1321
0.17167,1.368,-0.1167
0.19567,1.366,-0.09118
0.21867,1.399,-0.07323
0.24167,1.376,-0.06476
0.26567,1.261,-0.05353
0.28867,1.125,-0.03551
0.31167,1.068,-0.01848
0.33567,1.107,-0.00803
0.35867,1.18,-0.00306
0.38167,1.217,-0.00096
0.40567,1.191,-0.00022
0.42867,1.128,-4e-05
0.45167,1.047,-9e-05
0.47567,0.9464,-0.00083
0.49867,0.845,-0.00592
0.52167,0.7703,-0.02976
0.54567,0.7539,-0.1071
0.56867,0.8248,-0.2815
0.59167,0.9596,-0.5599
0.61567,1.083,-0.8944
0.63867,1.133,-1.231
0.66167,1.092,-1.543
0.68567,0.9942,-1.822
0.70867,0.8943,-2.063
0.73167,0.832,-2.257
0.75567,0.8219,-2.41
0.77867,0.8534,-2.535
0.80167,0.8834,-2.657
0.82567,0.8728,-2.808
0.84867,0.8274,-2.997
0.87167,0.7705,-3.219
0.89567,0.7162,-3.498
0.91867,0.6795,-3.829
0.94167,0.6626,-4.138
0.96567,0.6522,-4.373
0.98867,0.6603,-4.514
1.01167,0.7206,-4.534
1.03567,0.8329,-4.46
1.05867,0.9446,-4.382
1.08167,0.9971,-4.335
1.10567,0.9639,-4.258
1.12867,0.8532,-4.096
1.15167,0.725,-3.854
1.17567,0.6704,-3.524
1.19867,0.707,-3.129
1.22167,0.7393,-2.805
1.24567,0.6871,-2.626
1.26867,0.5974,-2.48
1.29167,0.5659,-2.283
1.31567,0.6096,-2.136
1.33867,0.6761,-2.161
1.36167,0.7236,-2.276
1.38567,0.7439,-2.308
1.40867,0.7438,-2.246
1.43167,0.722,-2.23
1.45567,0.6654,-2.36
1.47867,0.5882,-2.606
1.50167,0.5333,-2.845
1.52567,0.5323,-3.025
1.54867,0.609,-3.263
1.57167,0.7447,-3.649
1.59567,0.8244,-4.059
1.61867,0.7548,-4.324
1.64167,0.6082,-4.454
1.66567,0.5277,-4.539
1.68867,0.5635,-4.634
1.71167,0.663,-4.767
1.73567,0.7505,-5.014
1.75867,0.7788,-5.449
1.78167,0.7303,-5.964
1.80567,0.6186,-6.163
1.82867,0.4981,-5.685
1.85167,0.4246,-4.694
1.87567,0.4081,-3.723
1.89867,0.4291,-3.071
1.92167,0.4853,-2.636
1.94567,0.5852,-2.252
1.96867,0.6921,-1.916
1.99167,0.7207,-1.681
2.01567,0.6305,-1.545
2.03867,0.4959,-1.521
2.06167,0.427,-1.633
2.08567,0.4594,-1.827
2.10867,0.5526,-1.988
2.13167,0.6401,-2.019
2.15567,0.6775,-1.91
2.17867,0.6634,-1.771
2.20167,0.6036,-1.71
2.22567,0.5132,-1.711
2.24867,0.4493,-1.706
2.27167,0.4575,-1.67
2.29567,0.5042,-1.573
2.31867,0.5159,-1.396
2.34167,0.4839,-1.23
2.36567,0.4714,-1.206
2.38867,0.5005,-1.309
2.41167,0.5153,-1.409
2.43567,0.4774,-1.436
2.45867,0.424,-1.388
2.48167,0.408,-1.267
2.50567,0.4374,-1.12
2.52867,0.4888,-1.003
2.55167,0.5506,-0.9222
2.57567,0.6106,-0.8795
2.59867,0.624,-0.8919
2.62167,0.5496,-0.955
2.64567,0.4065,-1.046
2.66867,0.2725,-1.111
2.69167,0.229,-1.082
2.71567,0.3018,-0.9841
2.73867,0.4396,-0.9278
2.76167,0.557,-0.9694
2.78567,0.6096,-1.047
2.80867,0.6014,-1.062
2.83167,0.5424,-0.9932
2.85567,0.4527,-0.9009
2.87867,0.369,-0.831
2.90167,0.3095,-0.8031
2.92567,0.2686,-0.8337
2.94867,0.2467,-0.8866
2.97167,0.2507,-0.8739
2.99567,0.2801,-0.772
3.01867,0.3387,-0.676
3.04167,0.4353,-0.6915
3.06567,0.5442,-0.7937
3.08867,0.6027,-0.8555
3.11167,0.577,-0.8213
3.13567,0.4975,-0.7642
3.15867,0.421,-0.7682
3.18167,0.3708,-0.8344
3.20567,0.33,-0.9047
3.22867,0.2913,-0.9247
3.25167,0.2697,-0.8677
3.27567,0.2736,-0.7525
3.29867,0.2911,-0.6563
3.32167,0.3074,-0.6509
3.34567,0.3234,-0.7166
3.36867,0.3459,-0.757
3.39167,0.3633,-0.7093
3.41567,0.3594,-0.6074
3.43867,0.3397,-0.5393
3.46167,0.3146,-0.5699
3.48567,0.2877,-0.6717
3.50867,0.2676,-0.7429
3.53167,0.2625,-0.7259
3.55567,0.2766,-0.6673
3.57867,0.3015,-0.6424
3.60167,0.3104,-0.6535
3.62567,0.2905,-0.6533
3.64867,0.2631,-0.6378
3.67167,0.258,-0.636
3.69567,0.2783,-0.643
3.71867,0.3008,-0.6274
3.74167,0.3178,-0.5778
3.76567,0.3428,-0.5253
3.78867,0.3647,-0.5251
3.81167,0.3546,-0.587
3.83567,0.321,-0.6342
3.85867,0.2924,-0.5922
3.88167,0.2626,-0.4931
3.90567,0.2169,-0.4252
3.92867,0.1739,-0.4216
3.95167,0.1639,-0.4456
3.97567,0.1957,-0.4612
3.99867,0.2505,-0.4832
4.02167,0.293,-0.5283
4.04567,0.2925,-0.5527
4.06867,0.248,-0.5232
4.09167,0.1912,-0.4867
4.11567,0.1566,-0.4844
4.13867,0.1545,-0.49
4.16167,0.1783,-0.4653
4.18567,0.2259,-0.3981
