#Energy,TDOS-UP,TDOS-DOWN
-5.64292,393.2,-389.2
-5.61992,0.7489,-0.2617
-5.59592,0.8899,-0.281
-5.57292,1.095,-0.3423
-5.54992,1.29,-0.4335
-5.52592,1.378,-0.5132
-5.50292,1.345,-0.5369
-5.47992,1.299,-0.5175
-5.45592,1.341,-0.513
-5.43292,1.428,-0.553
-5.40992,1.446,-0.6168
-5.38592,1.373,-0.678
-5.36292,1.296,-0.7427
-5.33992,1.253,-0.839
-5.31592,1.199,-0.9647
-5.29292,1.123,-1.056
-5.26992,1.061,-1.058
-5.24592,1.008,-1.011
-5.22292,0.9176,-1.002
-5.19992,0.7623,-1.066
-5.17592,0.6052,-1.165
-5.15292,0.5444,-1.233
-5.12992,0.5896,-1.203
-5.10592,0.6421,-1.074
-5.08292,0.6054,-0.9453
-5.05992,0.4912,-0.9296
-5.03592,0.397,-1.012
-5.01292,0.3864,-1.066
-4.98992,0.4325,-0.9998
-4.96592,0.4699,-0.8535
-4.94292,0.466,-0.7375
-4.91992,0.4359,-0.7051
-4.89592,0.4136,-0.7177
-4.87292,0.4357,-0.7013
-4.84992,0.5287,-0.616
-4.82592,0.6581,-0.4984
-4.80292,0.7283,-0.4269
-4.77992,0.6886,-0.4234
-4.75592,0.6033,-0.4365
-4.73292,0.5761,-0.4241
-4.70992,0.6318,-0.3974
-4.68592,0.7093,-0.3866
-4.66292,0.747,-0.4017
-4.63992,0.7321,-0.4291
-4.61592,0.6922,-0.4493
-4.59292,0.6815,-0.4535
-4.56992,0.7328,-0.4437
-4.54592,0.8169,-0.4367
-4.52292,0.8852,-0.4585
-4.49992,0.9097,-0.5021
-4.47592,0.8734,-0.519
-4.45292,0.7893,-0.4933
-4.42992,0.7335,-0.4744
-4.40592,0.7771,-0.4992
-4.38292,0.8984,-0.5448
-4.35992,1.015,-0.5881
-4.33592,1.062,-0.6356
-4.31292,1.027,-0.663
-4.28992,0.9512,-0.6267
-4.26592,0.8974,-0.5438
-4.24292,0.8967,-0.467
-4.21992,0.9318,-0.4221
-4.19592,0.9928,-0.4249
-4.17292,1.096,-0.4985
-4.14992,1.23,-0.6187
-4.12592,1.359,-0.6966
-4.10292,1.495,-0.6852
-4.07992,1.691,-0.6389
-4.05592,1.924,-0.6251
-4.03292,2.07,-0.6471
-4.00992,2.046,-0.6672
-3.98592,1.912,-0.654
-3.96292,1.82,-0.6067
-3.93992,1.875,-0.5584
-3.91592,2.029,-0.5537
-3.89292,2.118,-0.6018
-3.86992,2.051,-0.6628
-3.84592,1.906,-0.682
-3.82292,1.836,-0.6439
-3.79992,1.886,-0.5949
-3.77592,1.96,-0.5806
-3.75292,1.987,-0.5889
-3.72992,2.01,-0.5971
-3.70592,2.087,-0.6288
-3.68292,2.21,-0.7198
-3.65992,2.323,-0.8341
-3.63592,2.37,-0.8749
-3.61292,2.305,-0.8073
-3.58992,2.129,-0.6978
-3.56592,1.938,-0.6035
-3.54292,1.856,-0.5334
-3.51992,1.883,-0.5179
-3.49592,1.913,-0.5863
-3.47292,1.861,-0.7008
-3.44992,1.72,-0.7972
-3.42592,1.523,-0.8501
-3.40292,1.328,-0.8677
-3.37992,1.224,-0.8704
-3.35592,1.283,-0.8773
-3.33292,1.523,-0.8946
-3.30992,1.908,-0.929
-3.28592,2.364,-1.014
-3.26292,2.826,-1.206
-3.23992,3.25,-1.515
-3.21592,3.599,-1.852
-3.19292,3.79,-2.091
-3.16992,3.73,-2.194
-3.14592,3.433,-2.244
-3.12292,3.043,-2.328
-3.09992,2.675,-2.476
-3.07592,2.388,-2.68
-3.05292,2.223,-2.91
-3.02992,2.142,-3.117
-3.00592,2.078,-3.268
-2.98292,2.139,-3.342
-2.95992,2.611,-3.316
-2.93592,3.621,-3.154
-2.91292,4.932,-2.845
-2.88992,6.128,-2.475
-2.86592,6.855,-2.159
-2.84292,6.966,-1.899
-2.81992,6.622,-1.632
-2.79592,6.092,-1.393
-2.77292,5.47,-1.245
-2.74992,4.827,-1.157
-2.72592,4.344,-1.043
-2.70292,4.075,-0.8762
-2.67992,3.975,-0.7152
-2.65592,4.094,-0.6182
-2.63292,4.384,-0.5619
-2.60992,4.562,-0.4911
-2.58592,4.444,-0.4043
-2.56292,4.169,-0.3447
-2.53992,3.919,-0.3512
-2.51592,3.688,-0.4399
-2.49292,3.446,-0.6063
-2.46992,3.233,-0.8337
-2.44592,3.074,-1.105
-2.42292,2.994,-1.407
-2.39992,2.977,-1.733
-2.37592,2.961,-2.075
-2.35292,2.96,-2.405
-2.32992,3.02,-2.687
-2.30592,3.12,-2.886
-2.28292,3.267,-2.985
-2.25992,3.521,-3.044
-2.23592,3.828,-3.145
-2.21292,4.039,-3.235
-2.18992,4.147,-3.152
-2.16592,4.242,-2.822
-2.14292,4.234,-2.364
-2.11992,3.921,-1.995
-2.09592,3.34,-1.853
-2.07292,2.746,-1.853
-2.04992,2.288,-1.799
-2.02592,1.945,-1.658
-2.00292,1.69,-1.564
-1.97992,1.507,-1.581
-1.95592,1.354,-1.654
-1.93292,1.202,-1.742
-1.90992,1.073,-1.853
-1.88592,0.9939,-1.983
-1.86292,0.9981,-2.141
-1.83992,1.179,-2.384
-1.81592,1.645,-2.778
-1.79292,2.375,-3.38
-1.76992,3.158,-4.227
-1.74592,3.748,-5.241
-1.72292,4.101,-6.155
-1.69992,4.374,-6.64
-1.67592,4.608,-6.526
-1.65292,4.671,-5.899
-1.62992,4.551,-5.026
-1.60592,4.39,-4.182
-1.58292,4.255,-3.503
-1.55992,4.095,-3.003
-1.53592,3.85,-2.677
-1.51292,3.516,-2.533
-1.48992,3.15,-2.609
-1.46592,2.816,-2.928
-1.44292,2.576,-3.422
-1.41992,2.455,-3.98
-1.39592,2.396,-4.511
-1.37292,2.386,-4.923
-1.34992,2.578,-5.158
-1.32592,3.081,-5.157
-1.30292,3.735,-4.818
-1.27992,4.247,-4.214
-1.25592,4.477,-3.694
-1.23292,4.523,-3.51
-1.20992,4.575,-3.59
-1.18592,4.707,-3.796
-1.16292,4.826,-4.135
-1.13992,4.798,-4.625
-1.11592,4.604,-5.133
-1.09292,4.363,-5.446
-1.06992,4.189,-5.438
-1.04592,4.114,-5.125
-1.02292,4.148,-4.635
-0.99992,4.241,-4.149
-0.97592,4.241,-3.81
-0.95292,4.08,-3.747
-0.92992,3.875,-4.186
-0.90592,3.802,-5.288
-0.88292,3.991,-6.744
-0.85992,4.48,-7.836
-0.83592,5.184,-8.037
-0.81292,5.934,-7.355
-0.78992,6.565,-6.129
-0.76592,6.982,-4.823
-0.74292,7.179,-3.823
-0.71992,7.195,-3.227
-0.69592,7.054,-2.944
-0.67292,6.722,-2.894
-0.64992,6.161,-3.007
-0.62592,5.483,-3.136
-0.60292,4.932,-3.136
-0.57992,4.668,-3.027
-0.55592,4.639,-2.963
-0.53292,4.627,-2.969
-0.50992,4.431,-2.888
-0.48592,4.072,-2.679
-0.46292,3.747,-2.501
-0.43992,3.622,-2.425
-0.41592,3.744,-2.359
-0.39292,4.024,-2.254
-0.36992,4.257,-2.188
