#Energy,TDOS-UP,TDOS-DOWN
-5.41428,392.8,-389.0
-5.39128,0.7381,-0.2848
-5.36728,0.8068,-0.2938
-5.34428,0.9416,-0.3224
-5.32128,1.13,-0.3748
-5.29728,1.29,-0.4411
-5.27428,1.349,-0.4868
-5.25128,1.34,-0.5004
-5.22728,1.348,-0.5125
-5.20428,1.387,-0.5468
-5.18128,1.412,-0.5955
-5.15728,1.383,-0.6433
-5.13428,1.322,-0.6909
-5.11128,1.281,-0.7528
-5.08728,1.257,-0.8422
-5.06428,1.205,-0.9448
-5.04128,1.11,-1.018
-5.01728,1.001,-1.044
-4.99428,0.9199,-1.038
-4.97128,0.8473,-1.019
-4.94728,0.7394,-1.033
-4.92428,0.619,-1.113
-4.90128,0.5637,-1.193
-4.87728,0.5964,-1.162
-4.85428,0.6356,-1.032
-4.83128,0.5889,-0.9241
-4.80728,0.4662,-0.9144
-4.78428,0.3685,-0.9647
-4.76128,0.3806,-0.997
-4.73728,0.4823,-0.9538
-4.71428,0.5647,-0.8442
-4.69128,0.546,-0.7518
-4.66728,0.4605,-0.7252
-4.64428,0.427,-0.7137
-4.62128,0.5279,-0.6613
-4.59728,0.7087,-0.5702
-4.57428,0.8242,-0.4757
-4.55128,0.7973,-0.4248
-4.52728,0.691,-0.4363
-4.50428,0.6167,-0.4635
-4.48128,0.619,-0.4512
-4.45728,0.6741,-0.41
-4.43428,0.7408,-0.3925
-4.41128,0.7889,-0.4214
-4.38728,0.8237,-0.4743
-4.36428,0.8651,-0.5133
-4.34128,0.8995,-0.5061
-4.31728,0.9083,-0.4669
-4.29428,0.9025,-0.458
-4.27128,0.8829,-0.4902
-4.24728,0.8378,-0.5125
-4.22428,0.8046,-0.5192
-4.20128,0.8459,-0.5428
-4.17728,0.9678,-0.5758
-4.15428,1.101,-0.5873
-4.13128,1.163,-0.5832
-4.10728,1.131,-0.6031
-4.08428,1.055,-0.6458
-4.06128,0.9859,-0.6524
-4.03728,0.9477,-0.5867
-4.01428,0.9714,-0.4865
-3.99128,1.091,-0.4243
-3.96728,1.289,-0.4426
-3.94428,1.512,-0.5415
-3.92128,1.734,-0.6758
-3.89728,1.953,-0.7558
-3.87428,2.118,-0.7371
-3.85128,2.153,-0.6751
-3.82728,2.051,-0.6377
-3.80428,1.898,-0.6366
-3.78128,1.819,-0.6451
-3.75728,1.889,-0.6372
-3.73428,2.023,-0.6154
-3.71128,2.072,-0.6055
-3.68728,2.018,-0.6234
-3.66428,1.946,-0.6572
-3.64128,1.913,-0.679
-3.61728,1.911,-0.6646
-3.59428,1.905,-0.6295
-3.57128,1.884,-0.6213
-3.54728,1.893,-0.6439
-3.52428,1.991,-0.6569
-3.50128,2.182,-0.6623
-3.47728,2.389,-0.7129
-3.45428,2.501,-0.814
-3.43128,2.462,-0.8787
-3.40728,2.315,-0.8379
-3.38428,2.156,-0.731
-3.36128,2.07,-0.632
-3.33728,2.068,-0.5708
-3.31428,2.029,-0.5608
-3.29128,1.846,-0.6112
-3.26728,1.611,-0.701
-3.24428,1.499,-0.8013
-3.22128,1.591,-0.9059
-3.19728,1.89,-0.9908
-3.17428,2.361,-1.014
-3.15128,2.882,-0.9936
-3.12728,3.29,-0.9966
-3.10428,3.537,-1.069
-3.08128,3.694,-1.251
-3.05728,3.767,-1.586
-3.03428,3.672,-1.991
-3.01128,3.373,-2.267
-2.98728,2.948,-2.346
-2.96428,2.535,-2.348
-2.94128,2.276,-2.389
-2.91728,2.252,-2.504
-2.89428,2.438,-2.685
-2.87128,2.845,-2.88
-2.84728,3.602,-3.021
-2.82428,4.751,-3.107
-2.80128,6.02,-3.187
-2.77728,6.893,-3.223
-2.75428,7.023,-3.104
-2.73128,6.584,-2.825
-2.70728,6.019,-2.54
-2.68428,5.503,-2.353
-2.66128,4.98,-2.151
-2.63728,4.52,-1.798
-2.61428,4.232,-1.385
-2.59128,4.094,-1.131
-2.56728,4.115,-1.092
-2.54428,4.347,-1.095
-2.52128,4.631,-0.9843
-2.49728,4.651,-0.783
-2.47428,4.321,-0.601
-2.45128,3.85,-0.4973
-2.42728,3.433,-0.501
-2.40428,3.138,-0.617
-2.38128,2.97,-0.7895
-2.35728,2.857,-0.9701
-2.33428,2.712,-1.19
-2.31128,2.556,-1.498
-2.28728,2.491,-1.881
-2.26428,2.577,-2.263
-2.24128,2.76,-2.558
-2.21728,2.903,-2.755
-2.19428,2.953,-2.954
-2.17128,3.018,-3.234
-2.14728,3.217,-3.497
-2.12428,3.524,-3.549
-2.10128,3.798,-3.312
-2.07728,3.956,-2.896
-2.05428,4.042,-2.49
-2.03128,4.057,-2.21
-2.00728,3.928,-2.044
-1.98428,3.673,-1.935
-1.96128,3.368,-1.863
-1.93728,3.018,-1.826
-1.91428,2.628,-1.811
-1.89128,2.263,-1.824
-1.86728,1.946,-1.904
-1.84428,1.649,-2.057
-1.82128,1.369,-2.232
-1.79728,1.148,-2.427
-1.77428,1.014,-2.758
-1.75128,0.9934,-3.365
-1.72728,1.163,-4.249
-1.70428,1.616,-5.244
-1.68128,2.34,-6.098
-1.65728,3.148,-6.556
-1.63428,3.8,-6.461
-1.61128,4.224,-5.851
-1.58728,4.524,-4.972
-1.56428,4.728,-4.129
-1.54128,4.763,-3.489
-1.51728,4.644,-3.062
-1.49428,4.474,-2.834
-1.47128,4.288,-2.775
-1.44728,4.04,-2.852
-1.42428,3.724,-3.096
-1.40128,3.39,-3.535
-1.37728,3.066,-4.092
-1.35428,2.759,-4.65
-1.33128,2.515,-5.084
-1.30728,2.373,-5.282
-1.28428,2.304,-5.2
-1.26128,2.348,-4.839
-1.23728,2.652,-4.253
-1.21428,3.256,-3.676
-1.19128,3.941,-3.387
-1.16728,4.437,-3.449
-1.14428,4.673,-3.708
-1.12128,4.784,-4.033
-1.09728,4.926,-4.446
-1.07428,5.099,-4.975
-1.05128,5.144,-5.426
-1.02728,4.957,-5.496
-1.00428,4.646,-5.125
-0.98128,4.423,-4.567
-0.95728,4.387,-4.097
-0.93428,4.488,-3.793
-0.91128,4.592,-3.647
-0.88728,4.554,-3.773
-0.86428,4.363,-4.383
-0.84128,4.164,-5.489
-0.81728,4.118,-6.705
-0.79428,4.334,-7.491
-0.77128,4.857,-7.554
-0.74728,5.593,-6.941
-0.72428,6.343,-5.893
-0.70128,6.918,-4.78
-0.67728,7.181,-3.927
-0.65428,7.061,-3.405
-0.63128,6.616,-3.137
-0.60728,6.058,-3.086
-0.58428,5.601,-3.182
-0.56128,5.28,-3.258
-0.53728,5.019,-3.219
-0.51428,4.796,-3.141
-0.49128,4.664,-3.1
-0.46728,4.654,-3.023
-0.44428,4.681,-2.838
-0.42128,4.557,-2.628
-0.39728,4.207,-2.513
-0.37428,3.802,-2.476
-0.35128,3.572,-2.426
-0.32728,3.621,-2.349
-0.30428,3.884,-2.332
-0.28128,4.178,-2.416
-0.25728,4.308,-2.496
-0.23428,4.177,-2.357
-0.21128,3.837,-1.902
-0.18728,3.396,-1.319
-0.16428,2.931,-0.8684
-0.14128,2.511,-0.6268
-0.11728,2.172,-0.5141
-0.09428,1.887,-0.4538
-0.07128,1.663,-0.4319
-0.04728,1.564,-0.4395
-0.02428,1.622,-0.4256
-0.00128,1.782,-0.353
0.02272,1.957,-0.2634
0.04572,2.106,-0.2252
0.06872,2.201,-0.2417
0.09272,2.165,-0.257
0.11572,1.953,-0.2341
0.13872,1.678,-0.1905
0.16272,1.519,-0.157
0.18572,1.531,-0.1433
0.20872,1.601,-0.1404
0.23272,1.596,-0.1306
0.25572,1.462,-0.106
0.27872,1.254,-0.08124
0.30272,1.112,-0.06986
0.32572,1.12,-0.06338
0.34872,1.195,-0.04941
0.37272,1.215,-0.03034
0.39572,1.185,-0.01507
0.41872,1.171,-0.00648
0.44272,1.157,-0.00243
0.46572,1.095,-0.00081
0.48872,1.014,-0.00097
0.51272,0.9929,-0.00564
0.53572,1.062,-0.02759
0.55872,1.145,-0.09784
0.58272,1.116,-0.2546
0.60572,0.949,-0.5019
0.62872,0.7909,-0.7933
0.65272,0.7733,-1.086
0.67572,0.8359,-1.37
0.69872,0.8529,-1.637
0.72272,0.8138,-1.87
0.74572,0.79,-2.053
0.76872,0.8218,-2.197
0.79272,0.902,-2.328
0.81572,0.9948,-2.447
0.83872,1.03,-2.56
0.86272,0.9624,-2.705
0.88572,0.8433,-2.896
0.90872,0.7742,-3.113
0.93272,0.7991,-3.37
0.95572,0.8733,-3.681
0.97872,0.937,-4.005
1.00272,0.955,-4.297
1.02572,0.8813,-4.5
1.04872,0.703,-4.544
1.07272,0.5115,-4.459
1.09572,0.4334,-4.369
1.11872,0.5005,-4.318
1.14272,0.6344,-4.23
1.16572,0.7443,-4.048
1.18872,0.7987,-3.786
1.21272,0.81,-3.451
1.23572,0.8084,-3.061
1.25872,0.8207,-2.734
1.28272,0.8432,-2.565
1.30572,0.8572,-2.458
1.32872,0.8582,-2.297
1.35272,0.8388,-2.15
1.37572,0.7774,-2.143
1.39872,0.676,-2.243
1.42272,0.5755,-2.304
1.44572,0.5163,-2.285
1.46872,0.505,-2.294
1.49272,0.5376,-2.441
1.51572,0.618,-2.712
1.53872,0.7162,-2.989
1.56272,0.7622,-3.221
1.58572,0.7208,-3.523
1.60872,0.6284,-3.967
1.63272,0.5587,-4.396
1.65572,0.5605,-4.641
1.67872,0.5997,-4.736
1.70272,0.6098,-4.789
1.72572,0.6016,-4.864
1.74872,0.641,-5.032
1.77272,0.7241,-5.368
1.79572,0.7609,-5.827
1.81872,0.7005,-6.131
1.84272,0.5947,-5.893
1.86572,0.5136,-5.033
1.88872,0.492,-3.939
1.91272,0.5465,-3.076
1.93572,0.6522,-2.595
1.95872,0.742,-2.321
1.98272,0.7656,-2.03
2.00572,0.7028,-1.711
2.02872,0.5682,-1.475
2.05272,0.4268,-1.344
2.07572,0.3487,-1.294
2.09872,0.3532,-1.363
2.12272,0.4183,-1.564
2.14572,0.5193,-1.805
2.16872,0.6219,-1.97
2.19272,0.6725,-1.989
2.21572,0.6417,-1.856
2.23872,0.5591,-1.665
2.26272,0.4939,-1.535
2.28572,0.4894,-1.497
2.30872,0.5143,-1.488
2.33272,0.5188,-1.462
2.35572,0.5163,-1.423
2.37872,0.5575,-1.369
2.40272,0.6438,-1.268
2.42572,0.6994,-1.152
2.44872,0.6425,-1.106
2.47272,0.4816,-1.151
2.49572,0.3253,-1.231
2.51872,0.2847,-1.295
2.54272,0.3714,-1.303
2.56572,0.4959,-1.231
2.58872,0.5688,-1.099
2.61272,0.5772,-0.9553
2.63572,0.5408,-0.8514
2.65872,0.4638,-0.8177
2.68272,0.3839,-0.8439
2.70572,0.3629,-0.8977
2.72872,0.3891,-0.9394
2.75272,0.403,-0.9283
2.77572,0.4105,-0.8758
2.79872,0.4634,-0.8488
2.82272,0.5533,-0.8841
2.84572,0.6149,-0.9567
2.86872,0.6115,-1.029
2.89272,0.5469,-1.062
2.91572,0.4337,-1.03
2.93872,0.3169,-0.9468
2.96272,0.271,-0.8263
2.98572,0.3156,-0.6975
3.00872,0.387,-0.6411
3.03272,0.4292,-0.7047
3.05572,0.4505,-0.82
3.07872,0.4714,-0.8655
3.10272,0.4885,-0.7953
3.12572,0.4892,-0.6797
3.14872,0.4594,-0.6189
3.17272,0.3987,-0.639
3.19572,0.3264,-0.7014
3.21872,0.259,-0.7683
3.24272,0.208,-0.8102
3.26572,0.1981,-0.8014
3.28872,0.247,-0.7576
3.31272,0.3286,-0.7256
3.33572,0.3995,-0.7228
3.35872,0.457,-0.7383
3.38272,0.5186,-0.7644
3.40572,0.5672,-0.778
3.42872,0.563,-0.741
3.45272,0.497,-0.6565
3.47572,0.4105,-0.5905
3.49872,0.3476,-0.6034
3.52272,0.3089,-0.66
3.54572,0.2815,-0.6629
3.56872,0.2725,-0.5857
3.59272,0.2689,-0.4999
3.61572,0.2389,-0.4842
3.63872,0.2008,-0.5471
3.66272,0.2016,-0.6149
