#Energy,TDOS-UP,TDOS-DOWN
-6.09268,396.4,-389.8
-6.06968,1.312,-0.404
-6.04568,1.39,-0.5087
-6.02268,1.416,-0.575
-5.99968,1.452,-0.5803
-5.97568,1.498,-0.5628
-5.95268,1.477,-0.5811
-5.92968,1.375,-0.6434
-5.90568,1.295,-0.7162
-5.88268,1.303,-0.7864
-5.85968,1.321,-0.8762
-5.83568,1.247,-0.9998
-5.81268,1.119,-1.118
-5.78968,1.022,-1.162
-5.76568,0.9425,-1.138
-5.74268,0.8351,-1.148
-5.71968,0.7236,-1.22
-5.69568,0.6453,-1.259
-5.67268,0.5953,-1.205
-5.64968,0.5608,-1.123
-5.62568,0.5357,-1.101
-5.60268,0.5132,-1.135
-5.57968,0.4886,-1.146
-5.55568,0.4548,-1.082
-5.53268,0.4154,-0.99
-5.50968,0.3842,-0.929
-5.48568,0.3579,-0.8856
-5.46268,0.3409,-0.8132
-5.43968,0.3659,-0.704
-5.41568,0.4285,-0.6017
-5.39268,0.4651,-0.5557
-5.36968,0.4542,-0.5604
-5.34568,0.4516,-0.5609
-5.32268,0.4854,-0.5181
-5.29968,0.5216,-0.4414
-5.27568,0.5434,-0.3707
-5.25268,0.5688,-0.3386
-5.22968,0.6086,-0.3457
-5.20568,0.6586,-0.365
-5.18268,0.6962,-0.3764
-5.15968,0.6875,-0.3818
-5.13568,0.6334,-0.3809
-5.11268,0.5757,-0.3807
-5.08968,0.5557,-0.4047
-5.06568,0.5936,-0.4444
-5.04268,0.6797,-0.4651
-5.01968,0.7685,-0.4693
-4.99568,0.8067,-0.4624
-4.97268,0.7813,-0.4184
-4.94968,0.7364,-0.3644
-4.92568,0.7177,-0.3861
-4.90268,0.7263,-0.4917
-4.87968,0.7517,-0.5932
-4.85568,0.8033,-0.6418
-4.83268,0.8804,-0.6585
-4.80968,0.9284,-0.6357
-4.78568,0.8888,-0.5489
-4.76268,0.795,-0.4472
-4.73968,0.7316,-0.4075
-4.71568,0.7309,-0.4257
-4.69268,0.778,-0.4524
-4.66968,0.8627,-0.4869
-4.64568,0.98,-0.547
-4.62268,1.092,-0.6081
-4.59968,1.129,-0.6386
-4.57568,1.066,-0.637
-4.55268,0.9816,-0.6216
-4.52968,1.006,-0.6115
-4.50568,1.2,-0.6139
-4.48268,1.495,-0.6155
-4.45968,1.762,-0.593
-4.43568,1.906,-0.549
-4.41268,1.924,-0.5298
-4.38968,1.902,-0.5699
-4.36568,1.922,-0.6322
-4.34268,1.995,-0.6526
-4.31968,2.058,-0.6299
-4.29568,2.037,-0.6046
-4.27268,1.96,-0.5776
-4.24968,1.945,-0.5248
-4.22568,2.024,-0.4717
-4.20268,2.095,-0.4932
-4.17968,2.109,-0.6161
-4.15568,2.161,-0.7629
-4.13268,2.3,-0.8384
-4.10968,2.43,-0.8233
-4.08568,2.442,-0.7533
-4.06268,2.304,-0.6607
-4.03968,2.069,-0.5664
-4.01568,1.826,-0.5009
-3.99268,1.653,-0.5058
-3.96968,1.589,-0.5905
-3.94568,1.605,-0.6999
-3.92268,1.619,-0.7656
-3.89968,1.6,-0.7751
-3.87568,1.568,-0.7578
-3.85268,1.513,-0.7366
-3.82968,1.408,-0.7206
-3.80568,1.279,-0.7258
-3.78268,1.179,-0.7748
-3.75968,1.104,-0.8676
-3.73568,1.025,-0.9791
-3.71268,0.9578,-1.103
-3.68968,0.9346,-1.253
-3.66568,0.968,-1.432
-3.64268,1.06,-1.64
-3.61968,1.195,-1.876
-3.59568,1.392,-2.118
-3.57268,1.755,-2.329
-3.54968,2.338,-2.522
-3.52568,2.992,-2.77
-3.50268,3.484,-3.098
-3.47968,3.731,-3.415
-3.45568,3.774,-3.631
-3.43268,3.58,-3.703
-3.40968,3.135,-3.568
-3.38568,2.624,-3.184
-3.36268,2.249,-2.662
-3.33968,2.022,-2.217
-3.31568,1.869,-1.921
-3.29268,1.797,-1.658
-3.26968,1.847,-1.417
-3.24568,1.956,-1.313
-3.22268,2.033,-1.314
-3.19968,2.191,-1.257
-3.17568,2.739,-1.099
-3.15268,3.84,-0.9354
-3.12968,5.261,-0.8221
-3.10568,6.485,-0.7124
-3.08268,7.069,-0.5711
-3.05968,6.977,-0.4352
-3.03568,6.504,-0.347
-3.01268,5.86,-0.3023
-2.98968,5.11,-0.2772
-2.96568,4.447,-0.2561
-2.94268,4.067,-0.2316
-2.91968,3.928,-0.2134
-2.89568,3.889,-0.2262
-2.87268,3.892,-0.2851
-2.84968,3.944,-0.3794
-2.82568,4.07,-0.4734
-2.80268,4.281,-0.533
-2.77968,4.54,-0.5831
-2.75568,4.737,-0.7061
-2.73268,4.748,-0.9443
-2.70968,4.602,-1.256
-2.68568,4.448,-1.608
-2.66268,4.3,-2.012
-2.63968,4.056,-2.394
-2.61568,3.716,-2.573
-2.59268,3.392,-2.468
-2.56968,3.18,-2.21
-2.54568,3.116,-1.986
-2.52268,3.197,-1.864
-2.49968,3.333,-1.827
-2.47568,3.374,-1.87
-2.45268,3.284,-2.01
-2.42968,3.163,-2.218
-2.40568,3.068,-2.396
-2.38268,2.952,-2.436
-2.35968,2.743,-2.293
-2.33568,2.435,-2.022
-2.31268,2.102,-1.761
-2.28968,1.831,-1.644
-2.26568,1.643,-1.664
-2.24268,1.49,-1.665
-2.21968,1.322,-1.545
-2.19568,1.152,-1.413
-2.17268,1.037,-1.421
-2.14968,0.9949,-1.538
-2.12568,1.043,-1.643
-2.10268,1.268,-1.702
-2.07968,1.754,-1.749
-2.05568,2.439,-1.822
-2.03268,3.123,-1.963
-2.00968,3.608,-2.188
-1.98568,3.877,-2.442
-1.96268,4.104,-2.7
