#Energy,TDOS-UP,TDOS-DOWN
-0.94273,3.814,-4.161
-0.91973,3.756,-5.243
-0.89673,3.967,-6.729
-0.87273,4.47,-7.878
-0.84973,5.175,-8.117
-0.82673,5.922,-7.433
-0.80273,6.554,-6.187
-0.77973,6.979,-4.854
-0.75673,7.202,-3.831
-0.73273,7.265,-3.22
-0.70973,7.169,-2.927
-0.68673,6.846,-2.872
-0.66273,6.247,-2.986
-0.63973,5.516,-3.117
-0.61673,4.939,-3.119
-0.59273,4.678,-3.009
-0.56973,4.65,-2.945
-0.54673,4.615,-2.961
-0.52273,4.392,-2.895
-0.49973,4.03,-2.688
-0.47673,3.729,-2.498
-0.45273,3.638,-2.413
-0.42973,3.789,-2.349
-0.40673,4.073,-2.245
-0.38273,4.28,-2.171
-0.35973,4.263,-2.214
-0.33673,4.021,-2.369
-0.31273,3.613,-2.505
-0.28973,3.121,-2.395
-0.26673,2.659,-1.93
-0.24273,2.307,-1.316
-0.21973,2.068,-0.8514
-0.19673,1.914,-0.6203
-0.17273,1.839,-0.5252
-0.14973,1.846,-0.484
-0.12673,1.922,-0.4622
-0.10273,2.013,-0.4166
-0.07973,2.074,-0.3296
-0.05673,2.106,-0.2498
-0.03273,2.098,-0.2263
-0.00973,2.019,-0.2437
0.01327,1.887,-0.2563
0.03727,1.757,-0.239
0.06027,1.667,-0.1955
0.08327,1.61,-0.1522
0.10727,1.557,-0.1333
0.13027,1.485,-0.1329
0.15327,1.411,-0.1262
0.17727,1.383,-0.1037
0.20027,1.406,-0.08044
0.22327,1.402,-0.06836
0.24727,1.306,-0.05983
0.27027,1.159,-0.04464
0.29327,1.074,-0.02602
0.31727,1.1,-0.01221
0.34027,1.18,-0.00496
0.36327,1.227,-0.00173
0.38727,1.206,-0.00047
0.41027,1.148,-9e-05
0.43327,1.079,-3e-05
0.45727,0.9858,-0.00018
0.48027,0.8744,-0.00163
0.50327,0.7806,-0.01038
0.52727,0.7459,-0.04685
0.55027,0.8045,-0.152
0.57327,0.9409,-0.3635
0.59727,1.078,-0.6691
0.62027,1.141,-1.012
0.64327,1.111,-1.344
0.66727,1.018,-1.647
0.69027,0.9147,-1.915
0.71327,0.8418,-2.142
0.73727,0.8211,-2.323
0.76027,0.8468,-2.465
0.78327,0.8775,-2.587
0.80727,0.8731,-2.717
0.83027,0.8359,-2.884
0.85327,0.7883,-3.085
0.87727,0.7429,-3.326
0.90027,0.7067,-3.633
0.92327,0.6779,-3.967
0.94727,0.6519,-4.246
0.97027,0.649,-4.437
0.99327,0.7018,-4.522
1.01727,0.8116,-4.495
1.04027,0.9317,-4.412
1.06327,0.9997,-4.354
1.08727,0.9804,-4.308
1.11027,0.876,-4.204
1.13327,0.7412,-4.016
1.15727,0.6711,-3.746
1.18027,0.7006,-3.382
1.20327,0.7435,-2.995
1.22727,0.7059,-2.727
1.25027,0.6169,-2.576
1.27327,0.5732,-2.41
1.29727,0.6039,-2.212
1.32027,0.6648,-2.122
1.34327,0.7153,-2.199
1.36727,0.7447,-2.298
1.39027,0.7532,-2.285
1.41327,0.7337,-2.222
1.43727,0.6742,-2.25
1.46027,0.594,-2.429
1.48327,0.5369,-2.684
1.50727,0.5311,-2.897
1.53027,0.6005,-3.075
1.55327,0.7333,-3.36
1.57727,0.8211,-3.773
1.60027,0.7645,-4.142
1.62327,0.6237,-4.35
1.64727,0.5395,-4.457
1.67027,0.5681,-4.548
1.69327,0.6626,-4.654
1.71727,0.7485,-4.811
1.74027,0.777,-5.107
1.76327,0.7306,-5.59
1.78727,0.6247,-6.069
1.81027,0.5099,-6.1
1.83327,0.4351,-5.438
1.85727,0.4107,-4.405
1.88027,0.4245,-3.52
1.90327,0.4811,-2.946
1.92727,0.5872,-2.527
1.95027,0.6981,-2.149
1.97327,0.7242,-1.846
1.99727,0.628,-1.645
2.02027,0.4903,-1.542
2.04327,0.4254,-1.565
2.06727,0.4671,-1.714
2.09027,0.5664,-1.905
2.11327,0.6478,-2.022
2.13727,0.6716,-1.991
2.16027,0.6514,-1.856
2.18327,0.5976,-1.749
2.20727,0.5184,-1.726
2.23027,0.4628,-1.73
2.25327,0.4726,-1.712
2.27727,0.5115,-1.65
2.30027,0.5104,-1.509
2.32327,0.4741,-1.318
2.34727,0.4705,-1.211
2.37027,0.5101,-1.262
2.39327,0.5244,-1.38
2.41727,0.4766,-1.443
2.44027,0.4172,-1.427
2.46327,0.4076,-1.338
2.48727,0.4476,-1.198
2.51027,0.5036,-1.066
2.53327,0.5632,-0.969
2.55727,0.6152,-0.9019
2.58027,0.615,-0.8816
2.60327,0.5266,-0.9221
2.62727,0.3802,-1.01
2.65027,0.2593,-1.104
2.67327,0.2364,-1.126
2.69727,0.3244,-1.043
2.72027,0.4675,-0.9453
2.74327,0.5823,-0.938
2.76727,0.6239,-1.012
2.79027,0.5962,-1.068
2.81327,0.5216,-1.037
2.83727,0.4301,-0.9514
2.86027,0.3527,-0.8675
2.88327,0.2995,-0.8153
2.90727,0.266,-0.8204
2.93027,0.2542,-0.8757
2.95327,0.2668,-0.8988
2.97727,0.3007,-0.8227
3.00027,0.3634,-0.7082
3.02327,0.4612,-0.6808
3.04727,0.558,-0.7636
3.07027,0.595,-0.8431
3.09327,0.556,-0.8327
3.11727,0.4773,-0.7797
3.14027,0.4073,-0.7715
3.16327,0.3599,-0.828
3.18727,0.32,-0.9038
3.21027,0.2867,-0.9385
3.23327,0.2731,-0.8932
3.25727,0.2811,-0.7812
3.28027,0.299,-0.677
3.30327,0.3183,-0.6559
3.32727,0.3398,-0.714
3.35027,0.361,-0.765
3.37327,0.3663,-0.7324
3.39727,0.3483,-0.6305
3.42027,0.323,-0.5448
3.44327,0.3019,-0.5575
3.46727,0.2822,-0.6635
