#Energy,TDOS-UP,TDOS-DOWN
-5.76322,393.7,-389.3
-5.74022,0.8495,-0.2592
-5.71622,1.045,-0.3053
-5.69322,1.251,-0.3958
-5.67022,1.376,-0.4974
-5.64622,1.367,-0.555
-5.62322,1.307,-0.5438
-5.60022,1.332,-0.5145
-5.57622,1.435,-0.5315
-5.55322,1.477,-0.5954
-5.53022,1.4,-0.6657
-5.50622,1.301,-0.7283
-5.48322,1.258,-0.8144
-5.46022,1.223,-0.9426
-5.43622,1.155,-1.06
-5.41322,1.093,-1.089
-5.39022,1.044,-1.036
-5.36622,0.9515,-1.008
-5.34322,0.7909,-1.074
-5.32022,0.6261,-1.183
-5.29622,0.555,-1.245
-5.27322,0.5902,-1.214
-5.25022,0.6386,-1.101
-5.22622,0.6041,-0.9879
-5.20322,0.4965,-0.9714
-5.18022,0.4151,-1.041
-5.15622,0.4104,-1.081
-5.13322,0.435,-1.014
-5.11022,0.4385,-0.8791
-5.08622,0.4191,-0.7641
-5.06322,0.3976,-0.7171
-5.04022,0.4007,-0.7195
-5.01622,0.4364,-0.7013
-4.99322,0.4921,-0.6201
-4.97022,0.5655,-0.5178
-4.94622,0.6376,-0.4557
-4.92322,0.653,-0.4381
-4.90022,0.602,-0.431
-4.87622,0.5623,-0.4118
-4.85322,0.6003,-0.3872
-4.83022,0.6844,-0.3775
-4.80622,0.7374,-0.3895
-4.78322,0.7308,-0.4098
-4.76022,0.6828,-0.422
-4.73622,0.6289,-0.4274
-4.71322,0.6245,-0.4315
-4.69022,0.7021,-0.4303
-4.66622,0.8161,-0.4409
-4.64322,0.8867,-0.4851
-4.62022,0.8844,-0.5202
-4.59622,0.8308,-0.4943
-4.57322,0.7602,-0.4458
-4.55022,0.7217,-0.4423
-4.52622,0.7605,-0.491
-4.50322,0.867,-0.5636
-4.48022,0.9783,-0.6338
-4.45622,1.023,-0.6692
-4.43322,0.9767,-0.6425
-4.41022,0.8919,-0.5711
-4.38622,0.8411,-0.4951
-4.36322,0.8558,-0.4353
-4.34022,0.9126,-0.4096
-4.31622,0.9752,-0.4453
-4.29322,1.048,-0.5393
-4.27022,1.143,-0.6338
-4.24622,1.222,-0.6669
-4.22322,1.281,-0.6431
-4.20022,1.407,-0.621
-4.17622,1.649,-0.6341
-4.15322,1.91,-0.661
-4.13022,2.041,-0.6662
-4.10622,1.994,-0.6344
-4.08322,1.872,-0.5765
-4.06022,1.833,-0.5325
-4.03622,1.931,-0.5452
-4.01322,2.076,-0.6107
-3.99022,2.119,-0.6722
-3.96622,2.012,-0.6744
-3.94322,1.871,-0.6258
-3.92022,1.839,-0.5822
-3.89622,1.919,-0.5675
-3.87322,1.997,-0.5614
-3.85022,2.031,-0.5645
-3.82622,2.09,-0.6171
-3.80322,2.21,-0.7309
-3.78022,2.327,-0.8408
-3.75622,2.362,-0.862
-3.73322,2.293,-0.7875
-3.71022,2.143,-0.6837
-3.68622,1.949,-0.5927
-3.66322,1.797,-0.5221
-3.64022,1.765,-0.5087
-3.61622,1.818,-0.5814
-3.59322,1.839,-0.6965
-3.57022,1.779,-0.7882
-3.54622,1.66,-0.8309
-3.52322,1.492,-0.831
-3.50022,1.295,-0.8154
-3.47622,1.15,-0.8171
-3.45322,1.135,-0.8452
-3.43022,1.254,-0.8864
-3.40622,1.468,-0.952
-3.38322,1.765,-1.091
-3.36022,2.159,-1.33
-3.33622,2.636,-1.63
-3.31322,3.127,-1.905
-3.29022,3.522,-2.081
-3.26622,3.733,-2.175
-3.24322,3.715,-2.267
-3.22022,3.467,-2.403
-3.19622,3.077,-2.597
-3.17322,2.703,-2.845
-3.15022,2.431,-3.096
-3.12622,2.227,-3.287
-3.10322,2.035,-3.392
-3.08022,1.874,-3.403
-3.05622,1.863,-3.271
-3.03322,2.158,-2.957
-3.01022,2.841,-2.561
-2.98622,3.868,-2.239
-2.96322,5.1,-1.98
-2.94022,6.271,-1.684
-2.91622,6.982,-1.402
-2.89322,7.002,-1.255
-2.87022,6.536,-1.212
-2.84622,5.917,-1.139
-2.82322,5.278,-0.9849
-2.80022,4.69,-0.8124
-2.77622,4.261,-0.6773
-2.75322,4.016,-0.5623
-2.73022,3.965,-0.4609
