#Energy,TDOS-UP,TDOS-DOWN
-6.1607,397.3,-390.0
-6.1377,1.374,-0.4602
-6.1137,1.438,-0.5484
-6.0907,1.482,-0.5884
-6.0677,1.511,-0.5841
-6.0437,1.484,-0.5837
-6.0207,1.389,-0.6251
-5.9977,1.31,-0.696
-5.9737,1.317,-0.7674
-5.9507,1.345,-0.8419
-5.9277,1.282,-0.9462
-5.9037,1.144,-1.079
-5.8807,1.031,-1.175
-5.8577,0.9593,-1.185
-5.8337,0.8747,-1.173
-5.8107,0.7732,-1.213
-5.7877,0.6791,-1.255
-5.7637,0.5986,-1.224
-5.7407,0.5473,-1.15
-5.7177,0.5337,-1.121
-5.6937,0.5323,-1.15
-5.6707,0.5112,-1.166
-5.6477,0.4608,-1.11
-5.6237,0.4058,-1.015
-5.6007,0.3776,-0.9538
-5.5777,0.3668,-0.9241
-5.5537,0.3551,-0.8564
-5.5307,0.3618,-0.7262
-5.5077,0.399,-0.6
-5.4837,0.4328,-0.5507
-5.4607,0.4371,-0.5669
-5.4377,0.4358,-0.5825
-5.4137,0.4591,-0.5493
-5.3907,0.4983,-0.4666
-5.3677,0.5314,-0.3783
-5.3437,0.5536,-0.3338
-5.3207,0.5747,-0.3374
-5.2977,0.6156,-0.3561
-5.2737,0.6743,-0.3692
-5.2507,0.6988,-0.3769
-5.2277,0.6578,-0.3733
-5.2037,0.594,-0.3674
-5.1807,0.5564,-0.392
-5.1577,0.5595,-0.4384
-5.1337,0.6122,-0.4587
-5.1107,0.7051,-0.4547
-5.0877,0.7839,-0.4519
-5.0637,0.7928,-0.4247
-5.0407,0.7443,-0.3726
-5.0177,0.7048,-0.3711
-4.9937,0.7079,-0.4515
-4.9707,0.7335,-0.5475
-4.9477,0.7674,-0.612
-4.9237,0.8241,-0.6562
-4.9007,0.894,-0.6608
-4.8777,0.9103,-0.5858
-4.8537,0.842,-0.4731
-4.8307,0.7524,-0.4135
-4.8077,0.7061,-0.4195
-4.7837,0.714,-0.4375
-4.7607,0.7703,-0.4582
-4.7377,0.8755,-0.5101
-4.7137,1.014,-0.5832
-4.6907,1.121,-0.6359
-4.6677,1.12,-0.6451
-4.6437,1.019,-0.6208
-4.6207,0.9285,-0.5939
-4.5977,0.9756,-0.5906
-4.5737,1.187,-0.6081
-4.5507,1.474,-0.6137
-4.5277,1.727,-0.5819
-4.5037,1.875,-0.54
-4.4807,1.918,-0.544
-4.4577,1.924,-0.5973
-4.4337,1.951,-0.6399
-4.4107,2.003,-0.6374
-4.3877,2.039,-0.6183
-4.3637,2.014,-0.5983
-4.3407,1.956,-0.5519
-4.3177,1.966,-0.4809
